pair_index,rollout_i,rollout_j,rollout_i_name,rollout_j_name,euclidean_final_xy,maze_geodesic_shortest_path,latent_euclidean_distance,shortest_path_touches_horseshoe_region
194,2,16,seek_nearest_food,random_mlp_004,0.53154038,0.55928141,161.12738868883733,True
195,2,17,seek_nearest_food,random_mlp_005,0.16995783,0.18807292,161.12738868883733,True
196,2,18,seek_nearest_food,random_mlp_006,0.73570415,0.73501095,161.12738868883733,True
197,2,19,seek_nearest_food,random_mlp_007,0.5385991,0.56524131,161.12738868883733,True
198,2,20,seek_nearest_food,random_mlp_008,0.49282923,0.52003073,161.12738868883733,True
199,2,21,seek_nearest_food,random_mlp_009,0.55988753,0.59401829,161.12738868883733,True
200,2,22,seek_nearest_food,random_mlp_010,0.4701104,0.48733896,161.12738868883733,True
201,2,23,seek_nearest_food,random_mlp_011,0.56172264,0.59401829,161.12738868883733,True
202,2,24,seek_nearest_food,random_mlp_012,0.52505149,0.56668743,161.12738868883733,True
203,2,25,seek_nearest_food,random_mlp_013,1.61245867,1.73931296,161.12738868883733,True
204,2,26,seek_nearest_food,random_mlp_014,0.52608078,0.5533215,161.12738868883733,True
205,2,27,seek_nearest_food,random_mlp_015,0.54418025,0.57366989,161.12738868883733,True
206,2,28,seek_nearest_food,random_mlp_016,0.49940219,0.52147684,161.12738868883733,True
207,2,29,seek_nearest_food,random_mlp_017,1.43718409,1.5522626,161.12738868883733,True
208,2,30,seek_nearest_food,random_mlp_018,0.79098201,0.85752489,161.12738868883733,True
209,2,31,seek_nearest_food,random_mlp_019,0.12498138,0.14141622,161.12738868883733,True
210,2,32,seek_nearest_food,random_mlp_020,0.39107487,0.42773989,161.12738868883733,True
211,2,33,seek_nearest_food,random_mlp_021,0.56272024,0.58312104,161.12738868883733,True
212,2,34,seek_nearest_food,random_mlp_022,0.55223508,0.5796298,161.12738868883733,True
213,2,35,seek_nearest_food,random_mlp_023,0.69900907,0.7025673,161.12738868883733,True
214,2,36,seek_nearest_food,random_mlp_024,1.09501174,1.15185358,161.12738868883733,True
215,2,37,seek_nearest_food,random_mlp_025,0.53234805,0.56668743,161.12738868883733,True
216,2,38,seek_nearest_food,random_mlp_026,0.53771974,0.56524131,161.12738868883733,True
217,2,39,seek_nearest_food,random_mlp_027,0.53757282,0.55928141,161.12738868883733,True
218,2,40,seek_nearest_food,random_mlp_028,0.55519322,0.59401829,161.12738868883733,True
219,2,41,seek_nearest_food,random_mlp_029,0.58627741,0.62773262,161.12738868883733,True
220,2,42,seek_nearest_food,random_mlp_030,0.54070752,0.56524131,161.12738868883733,True
221,2,43,seek_nearest_food,random_mlp_031,0.56189732,0.59401829,161.12738868883733,True
222,2,44,seek_nearest_food,random_mlp_032,0.54885234,0.5796298,161.12738868883733,True
223,2,45,seek_nearest_food,random_mlp_033,1.34160241,1.80878674,161.12738868883733,True
224,2,46,seek_nearest_food,random_mlp_034,0.50452733,0.53688789,161.12738868883733,True
225,2,47,seek_nearest_food,random_mlp_035,0.55894934,0.59401829,161.12738868883733,True
226,2,48,seek_nearest_food,random_mlp_036,0.52923189,0.57264734,161.12738868883733,True
227,2,49,seek_nearest_food,random_mlp_037,0.85592764,0.89328433,161.12738868883733,True
228,2,50,seek_nearest_food,random_mlp_038,0.33663885,0.34839142,161.12738868883733,True
229,2,51,seek_nearest_food,random_mlp_039,0.52782549,0.55928141,161.12738868883733,True
230,2,52,seek_nearest_food,random_mlp_040,0.95466658,1.15763804,161.12738868883733,True
231,2,53,seek_nearest_food,random_mlp_041,0.54767188,0.55783529,161.12738868883733,True
232,2,54,seek_nearest_food,random_mlp_042,1.61682511,1.93666158,161.12738868883733,True
233,2,55,seek_nearest_food,random_mlp_043,0.54872808,0.58209848,161.12738868883733,True
234,2,56,seek_nearest_food,random_mlp_044,1.40047435,1.49206453,161.12738868883733,True
235,2,57,seek_nearest_food,random_mlp_045,0.19362748,0.19897017,161.12738868883733,True
236,2,58,seek_nearest_food,random_mlp_046,0.54025247,0.57366989,161.12738868883733,True
237,2,59,seek_nearest_food,random_mlp_047,0.55306345,0.59401829,161.12738868883733,True
238,2,60,seek_nearest_food,random_mlp_048,0.54541814,0.57366989,161.12738868883733,True
239,2,61,seek_nearest_food,random_mlp_049,0.56732063,0.59895564,161.12738868883733,True
240,2,62,seek_nearest_food,random_mlp_050,0.54968783,0.5796298,161.12738868883733,True
241,2,63,seek_nearest_food,random_mlp_051,1.61303495,1.73931296,161.12738868883733,True
242,2,64,seek_nearest_food,random_mlp_052,0.50529275,0.5428478,161.12738868883733,True
243,2,65,seek_nearest_food,random_mlp_053,0.28953467,0.28776978,161.12738868883733,True
244,2,66,seek_nearest_food,random_mlp_054,0.53937686,0.56524131,161.12738868883733,True
245,2,67,seek_nearest_food,random_mlp_055,0.79739605,0.84560507,161.12738868883733,True
246,2,68,seek_nearest_food,random_mlp_056,0.79821001,0.97058769,161.12738868883733,True
247,2,69,seek_nearest_food,random_mlp_057,0.54162847,0.57366989,161.12738868883733,True
248,2,70,seek_nearest_food,random_mlp_058,0.49547688,0.48920863,161.12738868883733,True
249,2,71,seek_nearest_food,random_mlp_059,0.54575096,0.57366989,161.12738868883733,True
250,2,72,seek_nearest_food,random_mlp_060,0.53947647,0.57366989,161.12738868883733,True
251,2,73,seek_nearest_food,random_mlp_061,0.54160292,0.56770999,161.12738868883733,True
252,2,74,seek_nearest_food,random_mlp_062,1.34999265,1.45588153,161.12738868883733,True
253,2,75,seek_nearest_food,random_mlp_063,0.36781624,0.38806565,161.12738868883733,True
254,2,76,seek_nearest_food,random_mlp_064,0.83422241,0.88136452,161.12738868883733,True
255,2,77,seek_nearest_food,random_mlp_065,0.53117372,0.55928141,161.12738868883733,True
256,2,78,seek_nearest_food,random_mlp_066,0.54723723,0.58209848,161.12738868883733,True
257,2,79,seek_nearest_food,random_mlp_067,0.55100963,0.58805838,161.12738868883733,True
258,2,80,seek_nearest_food,random_mlp_068,0.520695,0.59895564,161.12738868883733,True
259,2,81,seek_nearest_food,random_mlp_069,0.44223132,0.47192791,161.12738868883733,True
260,2,82,seek_nearest_food,random_mlp_070,1.06762356,1.13397386,161.12738868883733,True
261,2,83,seek_nearest_food,random_mlp_071,0.67879921,0.72249214,161.12738868883733,True
262,2,84,seek_nearest_food,random_mlp_072,0.65247946,0.66204595,161.12738868883733,True
263,2,85,seek_nearest_food,random_mlp_073,0.58496065,0.58414359,161.12738868883733,True
264,2,86,seek_nearest_food,random_mlp_074,0.53707962,0.56524131,161.12738868883733,True
265,2,87,seek_nearest_food,random_mlp_075,1.2842323,1.52228762,161.12738868883733,True
266,2,88,seek_nearest_food,random_mlp_076,0.54896292,0.58805838,161.12738868883733,True
267,2,89,seek_nearest_food,random_mlp_077,0.54893529,0.57366989,161.12738868883733,True
268,2,90,seek_nearest_food,random_mlp_078,0.85404714,0.89328433,161.12738868883733,True
269,2,91,seek_nearest_food,random_mlp_079,0.52909952,0.5533215,161.12738868883733,True
270,3,4,safe_corner,inside_horseshoe_route,0.95468916,2.94054003,19.947196516549205,True
271,3,5,safe_corner,right_field_route,1.69850735,1.81806243,11.379640204733887,True
272,3,6,safe_corner,diag_left_of_u_wall,0.61791589,0.67192064,0.982374475011669,True
273,3,7,safe_corner,diag_inside_left_wall,0.81772595,2.95041473,6.022673072012111,True
274,3,8,safe_corner,diag_below_u_bottom,0.88387775,0.92188587,2.5475004356282556,True
275,3,9,safe_corner,diag_inside_bottom,0.89212847,2.98617418,3.1068547126274693,True
276,3,10,safe_corner,diag_right_outer_wall,1.44684643,1.82793713,9.01856822796963,True
277,3,11,safe_corner,diag_inside_right_wall,1.20285039,1.41211706,8.604072661882444,True
278,3,12,safe_corner,random_mlp_000,0.16351364,0.16525585,165.23988788224875,False
279,3,13,safe_corner,random_mlp_001,0.08258287,0.09825075,165.23988788224875,False
280,3,14,safe_corner,random_mlp_002,0.17410465,0.19403283,165.23988788224875,False
281,3,15,safe_corner,random_mlp_003,0.62920292,0.67481288,165.23988788224875,False
282,3,16,safe_corner,random_mlp_004,0.18319931,0.19999273,165.23988788224875,False
283,3,17,safe_corner,random_mlp_005,0.74645709,0.75289067,165.23988788224875,True
284,3,18,safe_corner,random_mlp_006,0.12991539,0.14490745,165.23988788224875,False
285,3,19,safe_corner,random_mlp_007,0.17609488,0.19403283,165.23988788224875,False
286,3,20,safe_corner,random_mlp_008,0.27203293,0.2898149,165.23988788224875,False
287,3,21,safe_corner,random_mlp_009,0.15484171,0.16525585,165.23988788224875,False
288,3,22,safe_corner,random_mlp_010,0.69102149,0.74284053,165.23988788224875,False
289,3,23,safe_corner,random_mlp_011,0.15303564,0.16525585,165.23988788224875,False
290,3,24,safe_corner,random_mlp_012,0.43292976,0.46494545,165.23988788224875,False
291,3,25,safe_corner,random_mlp_013,1.83754909,1.86309757,165.23988788224875,False
292,3,26,safe_corner,random_mlp_014,0.18954764,0.20595264,165.23988788224875,False
293,3,27,safe_corner,random_mlp_015,0.17206597,0.18560424,165.23988788224875,False
294,3,28,safe_corner,random_mlp_016,1.03593252,1.11013423,165.23988788224875,True
295,3,29,safe_corner,random_mlp_017,1.64008308,1.67604721,165.23988788224875,False
296,3,30,safe_corner,random_mlp_018,0.80626982,0.82959503,165.23988788224875,False
297,3,31,safe_corner,random_mlp_019,0.75733571,0.78413633,165.23988788224875,True
298,3,32,safe_corner,random_mlp_020,0.88627816,0.94487838,165.23988788224875,False
299,3,33,safe_corner,random_mlp_021,0.27009419,0.30318083,165.23988788224875,False
300,3,34,safe_corner,random_mlp_022,0.16268165,0.17964434,165.23988788224875,False
301,3,35,safe_corner,random_mlp_023,0.36766801,0.38108319,165.23988788224875,False
302,3,36,safe_corner,random_mlp_024,1.23254687,1.25878103,165.23988788224875,False
303,3,37,safe_corner,random_mlp_025,0.42617999,0.46494545,165.23988788224875,False
304,3,38,safe_corner,random_mlp_026,0.17694679,0.19403283,165.23988788224875,False
305,3,39,safe_corner,random_mlp_027,0.17712704,0.19999273,165.23988788224875,False
306,3,40,safe_corner,random_mlp_028,0.1603314,0.16525585,165.23988788224875,False
307,3,41,safe_corner,random_mlp_029,0.15887385,0.17368443,165.23988788224875,False
308,3,42,safe_corner,random_mlp_030,0.17393664,0.19403283,165.23988788224875,False
309,3,43,safe_corner,random_mlp_031,0.15292225,0.16525585,165.23988788224875,False
310,3,44,safe_corner,random_mlp_032,0.16579301,0.17964434,165.23988788224875,False
311,3,45,safe_corner,random_mlp_033,2.0482157,2.23056671,165.23988788224875,True
312,3,46,safe_corner,random_mlp_034,0.28879658,0.30667206,165.23988788224875,False
313,3,47,safe_corner,random_mlp_035,0.15595711,0.16525585,165.23988788224875,False
314,3,48,safe_corner,random_mlp_036,0.21527203,0.22034113,165.23988788224875,False
315,3,49,safe_corner,random_mlp_037,0.14723928,0.15086736,165.23988788224875,False
316,3,50,safe_corner,random_mlp_038,0.4054858,0.43616847,165.23988788224875,False
317,3,51,safe_corner,random_mlp_039,0.18751418,0.19999273,165.23988788224875,False
318,3,52,safe_corner,random_mlp_040,1.42532542,1.47213969,165.23988788224875,False
319,3,53,safe_corner,random_mlp_041,0.20362874,0.20143885,165.23988788224875,False
320,3,54,safe_corner,random_mlp_042,2.25639366,2.56107841,165.23988788224875,True
