evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
13675,617,0.9872,15112.537999999968,12027.537999999968,-5.0,29.064999999999976,19.49357860615878,0.9979988936305829,nan,nan,5,nan,-1
13700,617,0.9872,15123.768999999967,12038.768999999967,-5.0,29.064999999999976,19.51178119935165,0.9979988936305829,nan,nan,5,nan,-1
13725,617,0.9872,15134.681999999968,12049.681999999968,-5.0,29.064999999999976,19.529468395461862,0.9979988936305829,nan,nan,5,nan,-1
13750,617,0.9872,15147.221999999967,12062.221999999967,-5.0,29.064999999999976,19.549792544570447,0.9979988936305829,nan,nan,5,nan,-1
13775,617,0.9872,15147.686999999967,12062.686999999967,-5.0,29.064999999999976,19.55054619124792,0.9979988936305829,nan,nan,5,nan,-1
13800,617,0.9872,15148.491999999967,12063.491999999967,-5.0,29.064999999999976,19.551850891409995,0.9979988936305829,nan,nan,5,nan,-1
13825,617,0.9872,15152.576999999967,12067.576999999968,-5.0,29.064999999999976,19.558471636952948,0.9979988936305829,nan,nan,5,nan,-1
13850,617,0.9872,15156.781999999967,12071.781999999967,-5.0,29.064999999999976,19.56528687196105,0.9979988936305829,nan,nan,5,nan,-1
13875,617,0.9872,15160.340999999968,12075.340999999968,-5.0,29.064999999999976,19.571055105348407,0.9979988936305829,nan,nan,5,nan,-1
13900,617,0.9872,15163.375999999967,12078.375999999967,-5.0,29.064999999999976,19.57597406807126,0.9979988936305829,nan,nan,5,nan,-1
13925,617,0.9872,15166.920999999968,12081.920999999968,-5.0,29.064999999999976,19.58171961102102,0.9979988936305829,nan,nan,5,nan,-1
13950,617,0.9872,15169.001999999968,12084.001999999968,-5.0,29.064999999999976,19.585092382495894,0.9979988936305829,nan,nan,5,nan,-1
13975,617,0.9872,15172.946999999967,12087.946999999967,-5.0,29.064999999999976,19.591486223662834,0.9979988936305829,nan,nan,5,nan,-1
14000,617,0.9872,15182.835999999967,12097.835999999967,-5.0,29.064999999999976,19.60751377633706,0.9979988936305829,1.044864345032543,1.1399527789079944,5,1.0,0
14025,617,0.9872,15187.655999999966,12102.655999999966,-5.0,29.064999999999976,19.615325769854078,0.9979988936305829,nan,nan,5,nan,-1
14050,617,0.9872,15194.140999999967,12109.140999999967,-5.0,29.064999999999976,19.62583630470011,0.9979988936305829,nan,nan,5,nan,-1
14075,617,0.9872,15201.615999999969,12116.615999999967,-5.0,29.064999999999976,19.63795137763366,0.9979988936305829,nan,nan,5,nan,-1
14100,617,0.9872,15209.770999999968,12124.770999999968,-5.0,29.064999999999976,19.651168557536415,0.9979988936305829,nan,nan,5,nan,-1
14125,617,0.9872,15218.061999999967,12133.061999999969,-5.0,29.064999999999976,19.664606158833013,0.9979988936305829,nan,nan,5,nan,-1
14150,617,0.9872,15225.356999999969,12140.356999999967,-5.0,29.064999999999976,19.67642949756883,0.9979988936305829,nan,nan,5,nan,-1
14175,617,0.9872,15236.084999999966,12151.084999999966,-5.0,29.064999999999976,19.693816855753592,0.9979988936305829,nan,nan,5,nan,-1
14200,617,0.9872,15249.554999999968,12164.554999999968,-5.0,29.264999999999972,19.71564829821713,0.9979988936305829,nan,nan,5,nan,-1
14225,617,0.9872,15254.817999999967,12169.817999999967,-5.0,29.264999999999972,19.72417828200967,0.9979988936305829,nan,nan,5,nan,-1
14250,617,0.9872,15256.097999999967,12171.097999999967,-5.0,29.264999999999972,19.726252836304646,0.9979988936305829,nan,nan,5,nan,-1
14275,617,0.9872,15268.047999999968,12183.047999999968,-5.0,29.264999999999972,19.745620745542897,0.9979988936305829,nan,nan,5,nan,-1
14300,617,0.9872,15270.278999999968,12185.278999999968,-5.0,29.264999999999972,19.749236628849218,0.9979988936305829,nan,nan,5,nan,-1
14325,617,0.9872,15276.543999999967,12191.543999999967,-5.0,29.264999999999972,19.759390599675797,0.9979988936305829,nan,nan,5,nan,-1
14350,617,0.9872,15291.114999999967,12206.114999999967,-5.0,29.264999999999972,19.783006482982117,0.9979988936305829,nan,nan,5,nan,-1
14375,617,0.9872,15291.499999999967,12206.499999999967,-5.0,29.264999999999972,19.783630470016153,0.9979988936305829,nan,nan,5,nan,-1
14400,617,0.9872,15300.404999999966,12215.404999999966,-5.0,29.264999999999972,19.79806320907612,0.9979988936305829,nan,nan,5,nan,-1
14425,617,0.9872,15313.289999999968,12228.289999999968,-5.0,29.264999999999972,19.81894651539703,0.9979988936305829,nan,nan,5,nan,-1
14450,617,0.9872,15324.463999999967,12239.463999999967,-5.0,29.264999999999972,19.83705672609395,0.9979988936305829,nan,nan,5,nan,-1
14475,617,0.9872,15335.507999999967,12250.507999999967,-5.0,29.264999999999972,19.854956239870287,0.9979988936305829,nan,nan,5,nan,-1
14500,617,0.9872,15343.492999999968,12258.492999999966,-5.0,29.264999999999972,19.86789789303074,0.9979988936305829,nan,nan,5,nan,-1
14525,617,0.9872,15343.492999999968,12258.492999999966,-5.0,29.264999999999972,19.86789789303074,0.9979988936305829,nan,nan,5,nan,-1
