seed,window_start,window_end,window_midpoint,candidate_count,disagreement_count,disagreement_rate,mean_latent_0,mean_latent_1,mean_blowup_ratio_disagreements,mean_geodesic_gap_disagreements
1003,12001,13000,12500.5,1000,146,0.146,2.6013491948917506,0.02671179650723934,1.4004927016151523,1.946597285587418
1003,13001,14000,13500.5,1000,147,0.147,3.1196206438913943,-0.026279660623520613,1.2828730158248662,0.7343956091893925
1003,14001,15000,14500.5,1000,156,0.156,2.719590632133186,-0.00218811010196805,1.2182904784911648,0.46315005645328355
1003,15001,16000,15500.5,1000,177,0.177,3.3082979687079788,-0.3171567527540028,1.4458148995298723,2.9323252389175005
1003,16001,17000,16500.5,1000,170,0.17,3.3566089038550855,-0.2195994788855314,1.3320676901175283,1.7116640641923846
1003,17001,18000,17500.5,1000,164,0.164,3.676637799873948,-0.5480996902249754,1.533876214145719,4.214366618987575
1003,18001,19000,18500.5,1000,168,0.168,3.903815586358309,-0.9076206692904234,1.2516947142706893,0.545987894644313
1003,19001,20000,19500.5,1000,160,0.16,4.353609723687172,-1.800582868590951,1.3820800316493123,1.9029255913156002
1004,1,1000,500.5,1000,36,0.036,1.263274407941848,-7.348027917727828,1.2526395056594166,0.5791750679335306
1004,1001,2000,1500.5,1000,43,0.043,1.1690053519010544,-7.181995227307081,1.1170332663818585,0.2605214303666025
1004,2001,3000,2500.5,1000,74,0.074,-0.8214872884191573,-1.5906382931619882,1.2340272491170652,0.6446289520764091
1004,3001,4000,3500.5,1000,93,0.093,-0.5724559555463493,-0.8255530468709766,1.4161136909634087,2.87982766983659
1004,4001,5000,4500.5,1000,83,0.083,-0.4157615481615067,-0.6612153458818794,1.2905838728244545,0.8403528514614307
1004,5001,6000,5500.5,1000,111,0.111,0.27561521127820016,-0.45534266358986497,1.4877724189786072,2.4878632966425895
1004,6001,7000,6500.5,1000,93,0.093,0.6363667725324631,-0.2856314496695995,1.2611646215071841,0.7166665489199792
1004,7001,8000,7500.5,1000,87,0.087,0.4560287672281265,-0.25495451111346484,1.2916478201836323,1.0477113429032656
1004,8001,9000,8500.5,1000,88,0.088,0.4330106803663075,-0.35637631522864105,1.5099730997679723,2.806948341324509
1004,9001,10000,9500.5,1000,10,0.01,0.7437601844668389,0.07054904819838703,1.0288671721010754,0.050146497790569344
1004,10001,11000,10500.5,1000,125,0.125,0.18328945709392427,-1.09402451396361,1.2572081582481134,0.756072910528375
1004,11001,12000,11500.5,1000,103,0.103,0.11125101564079523,-1.5336610427349806,1.470285751204561,2.5882251334960467
1004,12001,13000,12500.5,1000,107,0.107,1.3721520837284624,-0.558285051971674,1.2975310932145954,0.8035434885430306
1004,13001,14000,13500.5,1000,116,0.116,-0.4872075725533068,-1.2444895243272185,1.2661847428150084,0.6358828084876724
1004,14001,15000,14500.5,1000,119,0.119,-0.2100960361883044,-1.0794968486055732,1.2088427121644285,0.538180629243555
1004,15001,16000,15500.5,1000,138,0.138,-0.6665593563839793,-0.8722375957295299,1.2369033564034813,0.6026629786165562
1004,16001,17000,16500.5,1000,127,0.127,-0.3175434116870165,-0.36432905707508323,1.2805532306764689,0.6960091384509889
1004,17001,18000,17500.5,1000,132,0.132,-0.7352083875723183,-0.2355053694844246,1.2568539117031372,0.6293945587848015
1004,18001,19000,18500.5,1000,121,0.121,-0.35500236386060713,-0.5808707536160946,1.2376812421725967,0.5551565325746448
1004,19001,20000,19500.5,1000,123,0.123,-0.6285005903542041,-0.36914011934399604,1.2634359506628998,0.7171144389538258
1005,1,1000,500.5,1000,19,0.019,-1.9807461313009262,2.0182333567291497,1.1432707771414912,0.2965507073931959
1005,1001,2000,1500.5,1000,33,0.033,-1.6958936466872692,1.78280812202394,1.126299828126275,0.2593802329839948
1005,2001,3000,2500.5,1000,106,0.106,-0.6627815232723951,-1.9936308495104313,1.2174872873515037,0.5288317474693833
1005,3001,4000,3500.5,1000,123,0.123,-1.557837845161557,-1.2319551108554005,1.2487078262380924,0.633403122793832
1005,4001,5000,4500.5,1000,108,0.108,-1.3735319827347994,-0.8951573726981878,1.4770643353954733,2.5869423151357633
1005,5001,6000,5500.5,1000,122,0.122,-1.3575245476476847,-0.7980368338897824,1.2211465366410041,0.6104430116692839
1005,6001,7000,6500.5,1000,125,0.125,-1.3717291751801968,-0.9922574142366648,1.2927192133124965,0.7616517376054768
1005,7001,8000,7500.5,1000,113,0.113,-1.7069194642603398,-1.0012184300124645,1.4497614287253031,2.519992877297179
1005,8001,9000,8500.5,1000,125,0.125,-0.893988901630044,-0.7680836283564567,1.4049504245541644,2.420631206463108
1005,9001,10000,9500.5,1000,4,0.004,-1.4481095375940203,-1.0413955043703318,1.028558261580804,0.059176131095991236
1005,10001,11000,10500.5,1000,144,0.144,-1.6228826599903405,-1.902529806010425,1.2231402901863209,0.5819000911657248
1005,11001,12000,11500.5,1000,137,0.137,-1.4509282391741871,-1.7440329885035752,1.2565586462807403,0.685992241856489
1005,12001,13000,12500.5,1000,112,0.112,-1.9243527542836965,-1.5956132723912597,1.260555720890992,0.6919155426819399
1005,13001,14000,13500.5,1000,126,0.126,-1.4514019116424024,-1.8827726341336966,1.2559626312296226,0.7504163279368908
1005,14001,15000,14500.5,1000,138,0.138,-2.2039685465320944,-1.9626630081236363,1.2371693050496217,0.6295000268073785
1005,15001,16000,15500.5,1000,122,0.122,-1.2984850858524442,-2.2278451262041927,1.252092369011846,0.6414590145075623
1005,16001,17000,16500.5,1000,132,0.132,-1.7122728962674736,-2.042816402360797,1.3794349368313659,2.16317958773065
1005,17001,18000,17500.5,1000,129,0.129,-1.5336289993152021,-2.2779129775092004,1.2795023897292537,0.7526601541452445
1005,18001,19000,18500.5,1000,134,0.134,-1.6029643035903574,-2.3707749544009564,1.6584985071580267,3.8513205487894955
1005,19001,20000,19500.5,1000,131,0.131,-1.6844386063441634,-1.6745128377005458,1.395313984867838,2.1571548181976308
