rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
11,1002,19294,22.524999999999952,-27.509859085083008,3.531662702560425,"(5,15)","(6,15)",140,165,1.9428486566295655,1.9747421714160194,2.3608637210865995,5.396384027138635,3.0355203060520353,2.285766848352823,1.0,False,False,True,26.63499999999994,-4.109999999999989,True,27.869999999999912,-5.34499999999996,51
12,1002,16085,8.538999999999987,-3.5151336193084717,-15.682488441467285,"(13,6)","(13,7)",331,332,1.1967794076850633,1.2005471754492387,1.201824134094138,2.747071135222012,1.5452470011278738,2.2857513485470045,1.0,False,False,True,11.33999999999995,-2.800999999999963,True,10.948999999999947,-2.4099999999999593,52
8,1004,16908,22.069999999999947,19.065349578857422,26.09752082824707,"(20,18)","(20,17)",518,517,1.741555342039152,1.7682230191694683,2.459688933093581,5.596548055342862,3.136859122249281,2.2753072472070746,1.0,True,True,True,21.724999999999955,0.34499999999999176,True,22.069999999999947,0.0,53
10,1001,5913,25.419999999999927,-45.18497848510742,8.96373462677002,"(5,16)","(4,16)",141,116,1.9297649836382238,1.991582825525694,1.9917579258077776,4.5247436167779025,2.5329856909701247,2.2717337072690933,1.0,True,False,True,25.074999999999907,0.3450000000000202,True,27.189999999999948,-1.770000000000021,54
11,1001,12705,21.594999999999974,5.6233391761779785,15.501646995544434,"(19,20)","(18,19)",495,469,1.715308873205741,2.258108126679869,2.2582164487927283,5.100976972849207,2.8427605240564784,2.2588521023200654,1.4142135623730951,True,True,True,13.644999999999975,7.949999999999999,True,21.594999999999974,0.0,55
12,1001,5201,14.010999999999976,-3.7437732219696045,-0.9563360810279846,"(16,10)","(16,9)",410,409,0.8178753047712598,0.8297766789658698,1.118280924035525,2.488188004093841,1.369907080058316,2.225011578588635,1.0,True,True,True,15.229999999999988,-1.2190000000000119,True,20.699999999999953,-6.688999999999977,56
9,1004,11508,14.877999999999973,0.783486008644104,7.275143146514893,"(13,12)","(13,11)",337,336,1.5899980902049244,1.753948133438429,2.2065530348688833,4.889343477634492,2.682790442765609,2.2158286704969337,1.0,False,False,True,18.604999999999936,-3.726999999999963,True,22.449999999999967,-7.571999999999994,57
10,1004,17801,3.830999999999997,-19.1036319732666,-21.4431095123291,"(5,2)","(5,3)",127,128,1.4579784545018777,1.9869931308755442,2.3419463967576952,5.150461195133662,2.808514798375967,2.199222493847089,1.0,False,False,True,3.930999999999997,-0.10000000000000009,True,8.080999999999994,-4.249999999999997,58
11,1004,13805,14.227999999999945,-10.698561668395996,5.210897922515869,"(8,11)","(9,11)",211,236,1.2345879336465428,1.5290406550320348,1.8657414060069653,4.100705004194507,2.2349635981875413,2.197895694972424,1.0,False,False,True,14.774999999999928,-0.5469999999999828,True,15.183999999999912,-0.9559999999999675,59
12,1004,10632,7.719999999999996,-18.22395133972168,-13.769960403442383,"(6,5)","(5,5)",155,130,1.1800614066985111,1.6426112095780747,1.8331287501047324,4.001472798161732,2.1683440480569995,2.182865114047835,1.0,True,False,True,8.491999999999999,-0.7720000000000029,True,8.080999999999992,-0.3609999999999962,60
