evaluation,source,fitness,final_x,final_y,latent_0,latent_1,cell_x,cell_y,inserted,replaced,latent_clipped,steps,food_collected,wall_collisions,hazard_contacts,path_length,displacement,loop_score,bbox_area,is_loop,is_near_still
11037,mutated_elite,6.196999999999995,0.8529214060128668,-0.9193528974234426,-6.885404586791992,-1.5423535108566284,3,8,True,True,False,184,1,12,0,5.918555736541748,1.5920084714889526,4.5716034647503525,3.635077476501465,True,False
11038,mutated_elite,3.2349999999999985,0.6778536748342392,-0.9715494620939558,-6.533043384552002,0.4763294458389282,4,14,True,True,False,145,0,5,0,4.543854713439941,1.4229447841644287,0.9397339295769185,3.2262721061706543,False,False
11039,mutated_elite,0.018999999999999365,0.07818183340563774,0.9749983545218551,-1.7521458864212036,0.8715366125106812,15,15,False,False,False,143,0,82,1,4.024430274963379,1.9093033075332642,1.3363128507346547,2.9042375087738037,True,False
11040,mutated_elite,5.243999999999997,-0.5007165991791386,0.6682228892345429,-2.2238988876342773,-2.6523802280426025,13,5,False,False,False,188,1,8,0,5.002783298492432,1.4509382247924805,7.3611346840536,0.8944622278213501,True,False
11041,mutated_elite,3.421999999999998,-0.7125263642460721,0.33490020700506556,-0.8491544723510742,-1.2882509231567383,17,9,False,False,False,139,0,6,0,5.794330596923828,1.077965497970581,3.0559729524939248,1.1441484689712524,True,False
11042,mutated_elite,10.578999999999976,-0.022616046311045284,-0.82286651267768,-4.743777751922607,0.8405410051345825,8,15,False,False,False,233,2,19,0,7.623519420623779,0.704416811466217,8.497918584602505,3.7566208839416504,True,False
11043,mutated_elite,13.936999999999975,-0.08972444573945376,-0.8980798352391789,-6.2666778564453125,-0.9477601051330566,4,10,False,False,False,274,3,22,4,8.753987312316895,0.6445673108100891,8.91052090188012,3.728668212890625,True,False
11044,mutated_elite,7.856999999999999,-0.5283458166847137,-0.4320517831354634,0.5259566903114319,-0.005518384277820587,20,13,False,False,False,224,2,5,0,7.141500473022461,0.3887011706829071,11.106047872213257,0.3652382791042328,True,False
11045,mutated_elite,2.432999999999996,0.16173804516655504,-0.7261905356766545,-6.1408305168151855,-0.24095961451530457,5,12,False,False,False,141,0,36,0,5.502517223358154,0.9020178914070129,1.636775452617202,3.108912706375122,True,False
11046,mutated_elite,17.344999999999963,-0.19849634926196894,-0.7406053184088363,-5.2035627365112305,-0.7297846078872681,7,10,False,False,False,280,4,13,6,9.04311466217041,0.5356060862541199,11.937026293346868,3.7186052799224854,True,False
11047,mutated_elite,4.631999999999999,0.2413456414348823,-0.7275127652130959,-0.5544408559799194,2.9434962272644043,17,21,False,False,False,159,1,34,13,6.639002799987793,0.9734854698181152,3.2179045951564027,1.6519005298614502,True,False
11048,mutated_elite,4.478,-0.7872875867734227,-0.7702382073826373,1.124140977859497,0.2585805058479309,21,13,False,False,False,191,1,10,0,4.002457618713379,0.04627112299203873,8.121975258638185,0.2051028311252594,True,False
11049,mutated_elite,-2.6090000000000004,-0.9705992633364704,-0.9741769477508638,1.3287832736968994,0.8699983358383179,22,15,False,False,False,152,0,126,0,1.408174991607666,0.30990657210350037,0.9763144496057465,0.16379618644714355,False,False
11050,mutated_elite,16.981999999999925,0.5891215107621728,-0.9332898829518175,-2.0718579292297363,1.4994876384735107,14,17,False,False,False,274,4,14,7,9.974117279052734,1.333642840385437,7.304774998662286,3.653571128845215,True,False
11051,mutated_elite,5.711999999999996,0.6023822875266757,0.8275308036583876,-2.632493257522583,-1.9525268077850342,13,7,False,False,False,184,1,13,0,5.728006839752197,2.086961269378662,8.710645281648498,2.739145517349243,True,False
11052,mutated_elite,-1.9459999999999975,0.9722989273687851,-0.9725369333765417,-1.3279695510864258,3.10040020942688,16,22,False,False,False,143,0,108,3,1.9177780151367188,1.7035160064697266,0.6307696773979701,0.4939349293708801,False,False
11053,mutated_elite,15.839999999999927,0.29832467560504217,0.09297802940119909,-3.2207343578338623,-2.0682454109191895,11,6,False,False,False,280,4,15,8,8.544706344604492,1.3336248397827148,10.865452789097759,2.551284074783325,True,False
11054,mutated_elite,7.328999999999998,-0.6282865855142276,-0.24732745638127804,0.6822043657302856,-0.37852469086647034,20,11,False,False,False,223,2,16,0,7.430116176605225,0.5038381814956665,9.338407664700407,0.33300748467445374,True,False
11055,mutated_elite,9.981999999999966,0.8649094479126881,-0.45997190054069453,-5.879150390625,-1.0361360311508179,5,9,False,False,False,239,2,15,0,6.098807334899902,1.6191554069519043,7.190818301166014,3.338286876678467,True,False
11056,mutated_elite,14.589999999999964,0.9364493856455601,-0.2359101623120275,-3.906259298324585,-1.3029768466949463,10,9,False,False,False,275,3,19,0,10.691131591796875,1.758678674697876,11.863112111096731,3.271172285079956,True,False
11057,mutated_elite,5.690999999999997,-0.19478932034578522,0.8220111289187577,-2.1116855144500732,-2.1191673278808594,14,6,False,False,False,187,1,4,0,5.242221832275391,1.669589638710022,6.953255822042004,1.315667748451233,True,False
11058,mutated_elite,10.392999999999967,0.8724931099255775,-0.8841970745259724,-5.772139549255371,-0.46260887384414673,5,11,False,False,False,231,2,13,0,7.54388427734375,1.6156505346298218,9.427734396485649,3.5969393253326416,True,False
11059,mutated_elite,16.979999999999947,0.6778165621936989,0.07246429494250785,-3.063068151473999,1.0474480390548706,12,16,False,False,False,280,4,27,7,9.862975120544434,1.6378775835037231,7.576259536408174,3.6968770027160645,True,False
11060,mutated_elite,-2.938000000000002,-0.10449934537014653,-0.9677758372186355,0.4918159246444702,1.7622934579849243,20,18,False,False,False,154,0,132,0,0.9039208292961121,0.6514022350311279,1.6103239513455214,0.2181292623281479,False,False
11061,mutated_elite,7.051999999999998,-0.9506970579165167,-0.0862340494758913,0.6412563323974609,-0.4723789095878601,20,11,False,False,False,229,2,15,0,5.727491855621338,0.6925382018089294,11.356133579071475,0.2211744785308838,True,False
11062,mutated_elite,14.083999999999982,-0.14335023996826415,0.37497599266640513,-2.760653018951416,-1.6768585443496704,12,8,False,False,False,258,3,27,3,12.529092788696289,1.2852290868759155,7.571743718892924,2.3491053581237793,True,False
11063,mutated_elite,-3.4230000000000045,-0.2686025796714774,-0.7167736419016596,0.3274850845336914,0.6902394890785217,19,15,False,False,False,154,0,142,0,0.6759890913963318,0.4646351635456085,1.3234213999131912,0.09025216847658157,False,False
11064,mutated_elite,9.745999999999938,0.9433388210194122,-0.8234106640212284,-5.382538795471191,0.28739452362060547,6,13,False,False,False,237,2,18,0,6.68328332901001,1.6821699142456055,8.48936900914543,3.3998031616210938,True,False
11065,mutated_elite,4.176999999999996,0.5483113416004581,-0.5518120982812966,-0.4777821898460388,2.2514615058898926,17,19,False,False,False,189,1,67,3,5.635056495666504,1.3056190013885498,3.0479564353560713,0.7366088628768921,True,False
11066,mutated_elite,9.576999999999993,0.16825479937504254,0.7901124875617505,-0.21328748762607574,-1.0478808879852295,18,9,False,False,False,219,2,10,2,9.428266525268555,1.796085000038147,8.670130420875761,2.1567113399505615,True,False
11067,mutated_elite,13.545999999999951,0.9588122412504215,-0.38293823424459783,-4.073788166046143,0.27282166481018066,9,13,False,False,False,252,3,11,6,8.494006156921387,1.7321727275848389,8.092342558815075,3.692837953567505,True,False
11068,mutated_elite,17.14999999999991,0.010066243741501064,-0.7589380825737809,-2.6176936626434326,0.7268196940422058,13,15,False,False,False,280,4,23,4,9.336981773376465,0.7548553943634033,10.44706757832287,3.547717332839966,True,False
11069,mutated_elite,-3.296000000000004,-0.40608273317360766,-0.9732325741046502,0.8448002934455872,1.4269787073135376,20,17,False,False,False,158,0,138,0,0.47495007514953613,0.38477253913879395,0.6542243572803169,0.07579606771469116,False,False
11070,mutated_elite,4.822999999999999,-0.7389949876920878,-0.7556870394015598,0.7592387199401855,0.13351991772651672,20,13,False,False,False,191,1,4,0,4.010534286499023,0.0194222554564476,9.578900750324298,0.4286336898803711,True,False
11071,mutated_elite,10.180999999999955,0.9392075226029402,-0.6806022838611848,-5.060301780700684,-0.47611358761787415,7,11,False,False,False,232,2,16,0,8.159515380859375,1.6878819465637207,6.5078904533536726,3.359013795852661,True,False
11072,mutated_elite,-1.9109999999999978,0.9735781703396036,-0.9613224297126578,-1.3611457347869873,3.108213186264038,15,22,False,False,False,138,0,95,5,1.8088306188583374,1.7073193788528442,5.482815662718159,0.4389083981513977,True,False
11073,mutated_elite,19.259999999999916,0.9645619499644967,0.5982299566711455,-3.233088254928589,-1.3782076835632324,11,8,False,False,False,280,5,21,2,8.582880020141602,2.1843931674957275,7.125566013039307,3.367023468017578,True,False
11074,mutated_elite,12.256999999999984,0.5800833197005376,0.2347578044599908,-0.7370973825454712,-0.3808560371398926,17,11,False,False,False,269,3,7,2,7.920234680175781,1.635269284248352,9.220343139655307,3.388413190841675,True,False
11075,mutated_elite,4.104999999999992,-0.2751859245329964,-0.26920851002045343,0.4199445843696594,-0.019545041024684906,19,12,False,False,False,180,1,49,0,6.5633463859558105,0.68101567029953,3.4353644615152317,0.6762290596961975,True,False
11076,mutated_elite,1.2810000000000015,-0.9508558600848298,0.974988464818835,-2.4414596557617188,-3.112973928451538,13,3,False,False,False,152,0,29,0,2.3433589935302734,1.7435894012451172,1.5009738369894696,1.2048797607421875,True,False
11077,mutated_elite,11.14299999999994,-0.4476012547799313,-0.4043870881659104,0.571834146976471,-0.09895425289869308,20,12,False,False,False,256,3,14,0,10.748351097106934,0.45964884757995605,8.261677215845957,0.5396546125411987,True,False
11078,mutated_elite,3.080999999999997,-0.14483421894997742,0.3907903423475115,-3.3579652309417725,-2.6065337657928467,11,5,False,False,False,192,1,97,2,4.77639102935791,1.2874630689620972,3.497726820713116,1.9246885776519775,True,False
11079,mutated_elite,9.172999999999933,0.6220582774046886,0.32046845245793626,-5.189184188842773,-0.24947696924209595,7,12,False,False,False,221,2,16,0,6.434246063232422,1.7207187414169312,8.703129037921853,3.3243331909179688,True,False
11080,mutated_elite,1.9359999999999955,0.3694721143032061,-0.9246924939266553,-4.744559288024902,1.4871513843536377,8,17,True,False,False,142,0,44,0,5.102384567260742,1.1194943189620972,1.0032770008093257,3.3334696292877197,True,False
11081,mutated_elite,10.32099999999996,-0.7771424822974589,0.29578570213239264,0.6304289698600769,-0.5098221302032471,20,11,False,False,False,267,3,13,0,7.511196136474609,1.0346288681030273,14.034864558966888,0.5131145119667053,True,False
11082,mutated_elite,13.834999999999933,0.8699351931039684,-0.4284781510593675,-5.644631385803223,-0.8486890196800232,6,10,False,False,False,280,3,16,0,8.295816421508789,1.641349196434021,10.441717567036989,3.3318378925323486,True,False
11083,mutated_elite,4.986999999999997,-0.9738738215552192,-0.4496150656048254,0.5042707324028015,-0.30419278144836426,20,12,False,False,False,184,1,17,0,5.841187000274658,0.39360952377319336,3.6212436580996634,0.5118016600608826,True,False
11084,mutated_elite,9.360999999999938,-0.4007407203048654,-0.40378414926060435,-0.7908820509910583,-1.620449423789978,17,8,False,False,False,232,2,8,0,7.358661651611328,0.48234835267066956,12.649962046040725,1.005510687828064,True,False
11085,mutated_elite,13.736999999999934,0.8143726792780908,-0.5380397187575815,-5.055932521820068,-0.35713109374046326,7,11,False,False,False,269,3,15,0,7.404888153076172,1.577353596687317,10.21444165636698,3.3752243518829346,True,False
11086,mutated_elite,8.561999999999987,0.07271279513648493,0.7689402938397043,-0.25941091775894165,-0.8142085075378418,18,10,False,False,False,214,2,13,2,7.933607578277588,1.7290401458740234,6.727342306438441,2.0643041133880615,True,False
11087,mutated_elite,13.858999999999961,-0.35644979786670344,-0.6515613049435008,-4.8956146240234375,0.7953333854675293,7,15,True,True,False,253,3,22,0,8.195310592651367,0.39891400933265686,8.501375571014423,3.7523183822631836,True,False
11088,mutated_elite,17.85999999999992,-0.14080401853286856,0.3525863870615489,-3.4442949295043945,-1.139722466468811,11,9,False,False,False,280,3,13,6,8.151151657104492,1.253128170967102,11.00468907918612,2.1634891033172607,True,False
11089,mutated_elite,7.742999999999998,-0.9498199027919111,-0.4032904040837554,0.5978701114654541,-0.1711994707584381,20,12,False,False,False,226,2,10,0,6.632749080657959,0.3986595571041107,12.16455719774589,0.35882070660591125,True,False
11090,mutated_elite,9.514999999999928,-0.7157917733940682,0.25138995193490754,-2.6106507778167725,-2.8800132274627686,13,4,False,False,False,230,2,7,0,7.983667850494385,0.999352753162384,10.603598514517627,1.1625876426696777,True,False
11091,mutated_elite,5.409,0.8880398403224692,-0.3485219549081671,0.005427747964859009,1.2249265909194946,19,16,False,False,False,178,1,5,4,4.6146087646484375,1.6705260276794434,6.7453503278581515,1.1686443090438843,True,False
11092,mutated_elite,2.2839999999999963,-0.9377519061528024,0.09105344118130562,-0.06135453283786774,-0.7750634551048279,18,10,False,False,False,138,0,28,0,6.060445785522461,0.8660083413124084,3.9542600040403624,0.7870779037475586,True,False
11093,mutated_elite,5.296999999999998,-0.54322164327878,0.5269118769335625,0.14396443963050842,-0.09838397055864334,19,12,False,False,False,189,1,8,0,4.4907121658325195,1.302468180656433,10.273534631682152,0.8759106397628784,True,False
11094,mutated_elite,4.150999999999997,-0.28499048516034625,-0.5363198866288295,0.14820392429828644,0.2769415080547333,19,13,False,False,False,192,1,17,0,3.6273350715637207,0.49034446477890015,9.116418624011951,0.2638692855834961,True,False
11095,mutated_elite,3.994999999999992,-0.753835425644504,0.9748607907131058,-0.8548492193222046,-1.4817276000976562,17,8,False,False,False,190,1,48,0,4.206814765930176,1.7290619611740112,5.23026865924703,1.3414738178253174,True,False
11096,mutated_elite,-0.6110000000000005,-0.7605343465009292,0.9716888032694269,-0.551139235496521,-1.5044482946395874,17,8,False,False,False,153,0,82,0,2.123746395111084,1.7187212705612183,0.9655584953737828,0.6907850503921509,False,False
11097,mutated_elite,5.6569999999999965,0.6840793220064266,0.6951236019661843,-0.86163330078125,-1.1670987606048584,17,9,False,False,False,184,1,12,0,5.771101474761963,2.039565324783325,7.718994704735358,2.8746213912963867,True,False
11098,mutated_elite,8.099999999999989,-0.5932550580717396,0.70677609633923,-0.04153658449649811,-0.5892744064331055,18,11,False,False,False,230,2,11,0,5.420077323913574,1.4583806991577148,9.275585709662371,1.1240357160568237,True,False
