euclidean_final_xy,maze_geodesic_shortest_path,ratio,shortest_path_touches_horseshoe_region
1.68787878,1.75846336,1.04181851,false
0.34953140,0.37120849,1.06201757,false
0.12123459,0.12209038,1.00705897,false
0.18363086,0.19999273,1.08910197,false
0.17057452,0.17717566,1.03869944,false
0.16514455,0.17121575,1.03676294,false
0.83412255,1.04542236,1.25331987,false
0.86612032,0.92946733,1.07313881,false
1.19189399,1.21561556,1.01990241,false
0.59904152,0.60184787,1.00468474,false
0.20992463,0.23472962,1.11816138,false
0.19176631,0.19897017,1.03756586,false
0.17759060,0.19403283,1.09258500,false
1.81169996,1.83678927,1.01384849,false
0.16684245,0.17121575,1.02621220,false
0.16625197,0.18560424,1.11640327,false
0.14522179,0.15086736,1.03887547,false
0.18653614,0.20595264,1.10408975,false
0.78003479,2.56192552,3.28437343,true
0.34687291,2.42876244,7.00187993,true
0.13838006,0.13894754,1.00410092,true
0.28974898,2.88076552,9.94228019,true
0.08047653,0.06947377,0.86327990,true
0.50915752,2.04972438,4.02571757,true
0.27907542,2.38210574,8.53570603,true
0.79660213,2.81742710,3.53680586,true
0.88877044,2.95041473,3.31965893,true
0.78254617,2.80550728,3.58510131,true
0.53109344,2.81972033,5.30927348,true
0.77564529,2.79111879,3.59844744,true
0.38986108,2.20450652,5.65459497,true
0.95182375,3.04270557,3.19671114,true
0.78078866,2.80550728,3.59317114,true
0.75846580,2.66758230,3.51707656,true
0.80329165,2.81742710,3.50735263,true
0.71644479,2.30727107,3.22044502,true
0.80522138,2.81742710,3.49894719,true
0.66597405,2.89966780,4.35402521,true
1.75792228,2.11979715,1.20585374,true
0.77253927,2.77673030,3.59429017,true
0.79092873,2.79707870,3.53644846,true
0.60461265,1.84726297,3.05528334,true
1.59757118,2.04231835,1.27838958,true
1.03856627,2.19233860,2.11092799,true
0.33771328,2.21540378,6.56001375,true
0.55586252,2.01251882,3.62053342,true
0.75610932,2.91610140,3.85671930,true
0.79650741,2.81146719,3.52974393,true
0.97395619,2.64783290,2.71863657,true
1.29387197,2.04827826,1.58306100,true
0.67504188,2.89966780,4.29553761,true
0.78015963,2.80550728,3.59606828,true
0.78130512,2.79111879,3.57238003,true
0.80062955,2.81742710,3.51901462,true
0.84240759,2.78371277,3.30447254,true
0.78374570,2.80550728,3.57961427,true
0.80562956,2.81742710,3.49717441,true
0.79176208,2.81146719,3.55089900,true
1.09515209,2.22852160,2.03489690,true
0.77358010,2.65072513,3.42656842,true
0.80302672,2.81742710,3.50850977,true
0.78862691,2.73705607,3.47066023,true
1.08760140,3.10826456,2.85790783,true
0.55169783,2.68137179,4.86021811,true
0.77372425,2.79111879,3.60738183,true
0.72624225,2.93542724,4.04193952,true
0.76733757,2.87395849,3.74536398,true
1.52617224,1.65238303,1.08269761,true
0.79693216,2.78865012,3.49923149,true
1.49493032,1.69554850,1.13419902,true
0.46609991,2.43923614,5.23329027,true
0.78510475,2.79707870,3.56268218,true
0.79787388,2.81742710,3.53116850,true
0.79101738,2.79707870,3.53605214,true
0.82232881,2.77179295,3.37066261,true
0.79370803,2.81146719,3.54219322,true
1.75868980,2.11979715,1.20532748,true
0.77634212,2.45380008,3.16072002,true
