dataset,seed,match_type,target_cell_x,target_cell_y,control_cell_x,control_cell_y,target_fitness,control_fitness,fitness_difference_target_minus_control,target_depth,control_depth,absolute_depth_difference,target_assignment_count,control_assignment_count,match_distance_standardized
horseshoe,1002,depth_only,12,15,10,12,22.82499999999996,21.144999999999925,1.6800000000000352,17.65441337227086,17.68811088602611,0.033697513755249986,27,47,0.0071352675344222415
horseshoe,1002,depth_only,13,6,9,17,11.33999999999995,23.839999999999947,-12.499999999999996,22.644044545719446,22.686211546210497,0.04216700049105171,21,3,0.008928635857619993
horseshoe,1002,depth_only,13,7,8,13,10.948999999999947,21.84999999999989,-10.900999999999945,20.752157750894337,20.671832477011343,0.08032527388299471,53,2,0.0170084452845312
horseshoe,1002,depth_only,15,20,6,10,11.73899999999998,21.209999999999905,-9.470999999999925,25.653346754140944,25.71576178427121,0.06241503013026417,38,18,0.013216047373200519
horseshoe,1002,depth_only,17,19,13,4,7.210999999999996,3.592999999999997,3.617999999999999,26.619774737359617,26.55103918334304,0.06873555401657683,24,2,0.014554384355985214
horseshoe,1003,depth_only,3,6,17,8,10.713999999999976,24.924999999999947,-14.210999999999972,35.12124149295062,35.4743049738437,0.35306348089308415,34,3,0.012788084512073496
horseshoe,1003,depth_only,3,8,3,10,12.569999999999988,7.524999999999997,5.044999999999991,33.862555514841205,33.863657158143454,0.0011016433022490446,65,7,3.9901911168169374e-05
horseshoe,1003,depth_only,4,8,11,20,7.767999999999997,3.8789999999999973,3.889,30.850965798908152,30.773732425583063,0.07723337332508962,94,9,0.0027974201770611822
horseshoe,1003,depth_only,4,12,11,20,15.649999999999952,3.8789999999999973,11.770999999999955,30.74856803053199,30.773732425583063,0.025164395051071153,16,9,0.0009114633147395718
horseshoe,1003,depth_only,5,8,6,5,14.75699999999996,14.478999999999914,0.27800000000004665,28.36338193838203,28.347483010549436,0.015898927832594723,21,5,0.000575864805559281
horseshoe,1003,depth_only,6,4,8,19,13.463999999999919,3.8149999999999973,9.648999999999921,28.8780411124825,28.93645702940998,0.05841591692747983,1,25,0.002115845231654231
horseshoe,1003,depth_only,8,4,6,9,17.939999999999966,15.924999999999944,2.015000000000022,25.867559300976303,25.841538503417475,0.02602079755882869,40,59,0.000942482517342606
horseshoe,1003,depth_only,8,6,10,5,18.02499999999994,19.03999999999994,-1.014999999999997,24.130203122240623,24.13525910417054,0.005055981929917408,48,4,0.00018312945889433326
horseshoe,1003,depth_only,9,2,10,18,17.43499999999994,7.177999999999997,10.256999999999941,27.385622208265964,27.494524411083262,0.10890220281729768,3,17,0.003944476414427858
horseshoe,1003,depth_only,10,6,11,7,18.784999999999933,21.739999999999934,-2.955000000000002,23.464499688258996,23.465229902429744,0.0007302141707477006,9,39,2.6448616276637904e-05
horseshoe,1003,depth_only,10,12,10,13,19.339999999999932,14.487999999999914,4.852000000000018,23.277278222475044,23.23359712591474,0.04368109656030228,18,50,0.0015821448114095517
horseshoe,1003,depth_only,11,4,12,5,18.179999999999936,23.67499999999994,-5.4950000000000045,25.461777615275295,25.563908925986105,0.10213131071080994,7,16,0.0036992323006473198
horseshoe,1003,depth_only,11,9,9,13,21.66499999999996,19.639999999999958,2.025000000000002,23.082067578671253,23.15879509480237,0.07672751613111828,9,41,0.0027790978500643986
horseshoe,1003,depth_only,12,14,13,9,19.044999999999927,17.86999999999989,1.1750000000000362,25.966722395023595,25.98785646148187,0.021134066458273537,33,3,0.0007654833835222457
horseshoe,1003,depth_only,13,4,8,18,21.389999999999937,8.234999999999967,13.15499999999997,27.680720380587093,27.665219888847176,0.015500491739917521,19,142,0.0005614333089543989
horseshoe,1003,depth_only,13,14,9,19,16.75499999999999,7.019999999999998,9.73499999999999,28.503729897686732,28.462440456916593,0.04128944077013941,20,63,0.0014955181903525455
horseshoe,1003,depth_only,14,4,5,6,23.494999999999923,13.489999999999915,10.005000000000008,29.621215984864783,29.629704819587094,0.008488834722310656,20,2,0.0003074686046921004
