dataset,seed,cell_x,cell_y,centroid_index,fitness,home_depth,bulk_depth,median_bulk_depth,centroid_to_home_euclidean,high_blowup_target,high_blowup_touch_count,any_disagreement_target,any_disagreement_touch_count,geodesic_assignment_count,log_geodesic_assignment_count
horseshoe,1001,16,10,410,15.229999999999988,4.979657730431327,19.355362886302586,14.561342104147732,4.884472080978244,False,0,True,3,36,3.6109179126442243
horseshoe,1001,16,11,411,19.72499999999993,6.196280242732754,19.169943179302365,14.29583163453761,6.114206057280939,False,0,True,12,97,4.584967478670572
horseshoe,1001,16,12,412,21.889999999999965,7.56019020850558,19.214367409482115,14.077320601058855,7.5046081304982115,False,0,True,9,172,5.153291594497779
horseshoe,1001,16,13,413,22.319999999999972,9.105425733815746,19.36522967944451,14.688140167900137,8.981366819933521,False,0,True,10,139,4.941642422609304
horseshoe,1001,16,14,414,15.75999999999997,10.677818418207963,19.721458716569497,15.211994024540973,10.50813665672843,False,0,True,13,81,4.406719247264253
horseshoe,1001,16,15,415,14.217999999999998,12.45478643987126,20.233200201832627,15.9412619333378,12.065948007478344,False,0,True,5,66,4.204692619390966
horseshoe,1001,16,16,416,17.58499999999995,14.058421686359402,20.937132539707843,16.83189390778125,13.644172599402115,False,0,True,15,144,4.976733742420574
horseshoe,1001,16,17,417,17.434999999999956,15.465124331774112,22.21114638191368,18.335593066801934,15.236468416460369,False,0,True,8,96,4.574710978503383
horseshoe,1001,16,18,418,18.03999999999998,17.047853018760122,22.920187110997677,19.377559164121177,16.83884416964915,False,0,True,4,38,3.6635616461296463
horseshoe,1001,16,19,419,6.284999999999998,18.67128516806432,23.9219434539742,20.760305254911213,18.448673540774525,False,0,True,1,2,1.0986122886681098
horseshoe,1001,17,5,430,10.502999999999954,5.418243175167288,23.3736318958186,18.418773139048888,4.9341470146179205,False,0,False,0,0,0.0
horseshoe,1001,17,6,431,10.76499999999997,3.2955847143758703,22.40490371036111,17.153325671744426,3.2894313430786135,False,0,True,1,15,2.772588722239781
horseshoe,1001,17,7,432,12.489999999999961,1.6820424943494738,21.768719766203617,16.338300659570617,1.644715671539306,False,0,True,11,94,4.553876891600541
horseshoe,1001,17,8,433,13.014999999999976,0.0,21.181791761686743,15.676620470558865,0.0,True,1,True,20,230,5.442417710521793
horseshoe,1001,17,9,434,15.756,1.677970906061203,20.646942439759986,15.037610462782938,1.6447156715393056,False,0,True,23,770,6.647688373563329
horseshoe,1001,17,10,435,20.189999999999955,3.3442020255249343,20.373383862544838,14.700652244928525,3.2894313430786113,False,0,True,8,505,6.226536669287466
horseshoe,1001,17,11,436,18.254999999999942,5.010743374486401,20.212094458461557,14.508816726371256,4.9341470146179205,False,0,True,12,495,6.206575926724928
horseshoe,1001,17,12,437,21.27999999999994,6.661615769696904,20.247565476655492,14.779235715919164,6.578862686157226,False,0,True,15,302,5.713732805509369
horseshoe,1001,17,13,438,20.979999999999954,8.291917700831242,20.395142796901812,14.859142459452476,8.223578357696532,False,0,True,10,178,5.187385805840755
horseshoe,1001,17,14,439,17.384999999999977,10.031367651244175,21.080433493132407,15.569839593451016,9.868294029235841,False,0,True,13,102,4.634728988229636
horseshoe,1001,17,15,440,18.534999999999993,11.814871312133048,21.48269678191687,16.78537100561988,11.513009700775147,False,0,True,13,118,4.77912349311153
horseshoe,1001,17,16,441,18.964999999999993,13.490694705743424,22.029159107159966,18.18542199723503,13.157725372314452,False,0,True,17,150,5.017279836814924
horseshoe,1001,17,17,442,12.238999999999985,15.060203693991378,22.793258571509213,19.05165105651977,14.802441043853758,False,0,True,9,96,4.574710978503383
horseshoe,1001,17,18,443,21.924999999999965,16.678893119319635,23.772619122529377,20.2390090595367,16.447156715393064,False,0,True,7,70,4.2626798770413155
horseshoe,1001,17,19,444,10.980999999999996,18.36208189737584,24.88997167230139,21.517151502231044,18.091872386932373,False,0,True,15,42,3.7612001156935624
horseshoe,1001,17,20,445,8.129999999999997,19.98584943954412,26.201844979779697,22.94267382821948,19.736588058471675,False,0,True,9,19,2.995732273553991
horseshoe,1001,17,21,446,7.900999999999995,21.662738885670528,27.650372109721154,24.43480169730089,21.381303730010984,False,0,True,1,2,1.0986122886681098
horseshoe,1001,18,5,455,0.2749999999999996,6.144575679087961,25.028834207511192,20.221813079735515,6.114206057280935,False,0,True,1,2,1.0986122886681098
horseshoe,1001,18,6,456,10.371999999999966,5.004300044958937,24.021209813797945,19.051651056519773,4.884472080978241,False,0,True,2,21,3.091042453358316
