evaluation,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
5950,588,0.9408,9675.159999999978,6735.15999999998,-5.0,27.08499999999996,11.454353741496565,0.9905208052192767,nan,nan,5,nan,-1
5975,588,0.9408,9694.68399999998,6754.683999999979,-5.0,27.08499999999996,11.487557823129217,0.9905208052192767,nan,nan,5,nan,-1
6000,588,0.9408,9706.673999999979,6766.673999999979,-5.0,27.08499999999996,11.5079489795918,0.9905208052192767,1.0530478259967926,1.313443845262084,5,1.0,0
6025,588,0.9408,9715.212999999978,6775.212999999979,-5.0,27.08499999999996,11.522471088435339,0.9905208052192767,nan,nan,5,nan,-1
6050,589,0.9424,9736.84799999998,6791.847999999978,-5.0,27.08499999999996,11.531151103565328,0.9907847538531183,nan,nan,5,nan,-1
6075,589,0.9424,9739.752999999979,6794.752999999979,-5.0,27.08499999999996,11.536083191850558,0.9907847538531183,nan,nan,5,nan,-1
6100,590,0.944,9757.300999999978,6807.300999999979,-5.0,27.08499999999996,11.53779830508471,0.99104825473673,nan,nan,5,nan,-1
6125,590,0.944,9767.974999999979,6817.9749999999785,-5.0,27.08499999999996,11.555889830508438,0.99104825473673,nan,nan,5,nan,-1
6150,590,0.944,9769.056999999979,6819.056999999979,-5.0,27.08499999999996,11.557723728813524,0.99104825473673,nan,nan,5,nan,-1
6175,590,0.944,9781.839999999978,6831.839999999978,-5.0,27.08499999999996,11.579389830508438,0.99104825473673,nan,nan,5,nan,-1
6200,591,0.9456,9814.160999999978,6859.160999999978,-5.0,27.08499999999996,11.606025380710623,0.9913113093866253,nan,nan,5,nan,-1
6225,591,0.9456,9826.509999999978,6871.509999999978,-5.0,27.08499999999996,11.626920473773229,0.9913113093866253,nan,nan,5,nan,-1
6250,592,0.9472,9843.574999999979,6883.574999999979,-5.0,27.08499999999996,11.627660472972938,0.9915739193116254,nan,nan,5,nan,-1
6275,592,0.9472,9853.436999999978,6893.436999999978,-5.0,27.08499999999996,11.64431925675672,0.9915739193116254,nan,nan,5,nan,-1
6300,592,0.9472,9862.975999999979,6902.975999999979,-5.0,27.08499999999996,11.660432432432396,0.9915739193116254,nan,nan,5,nan,-1
6325,592,0.9472,9867.028999999979,6907.028999999979,-5.0,27.08499999999996,11.66727871621618,0.9915739193116254,nan,nan,5,nan,-1
6350,592,0.9472,9880.609999999979,6920.609999999978,-5.0,27.08499999999996,11.690219594594558,0.9915739193116254,nan,nan,5,nan,-1
6375,592,0.9472,9885.548999999979,6925.548999999977,-5.0,27.08499999999996,11.698562499999962,0.9915739193116254,nan,nan,5,nan,-1
6400,592,0.9472,9900.512999999979,6940.512999999978,-5.0,27.08499999999996,11.72383952702699,0.9915739193116254,nan,nan,5,nan,-1
6425,593,0.9488,9932.210999999978,6967.210999999978,-5.0,27.08499999999996,11.749091062394568,0.9918360860129131,nan,nan,5,nan,-1
6450,593,0.9488,9946.21999999998,6981.2199999999775,-5.0,27.08499999999996,11.772715008431666,0.9918360860129131,nan,nan,5,nan,-1
6475,593,0.9488,9956.52299999998,6991.522999999978,-5.0,27.08499999999996,11.790089376053926,0.9918360860129131,nan,nan,5,nan,-1
6500,593,0.9488,9956.733999999979,6991.733999999979,-5.0,27.08499999999996,11.790445193929138,0.9918360860129131,nan,nan,5,nan,-1
6525,593,0.9488,9970.051999999978,7005.051999999978,-5.0,27.08499999999996,11.812903878583436,0.9918360860129131,nan,nan,5,nan,-1
6550,593,0.9488,9970.051999999978,7005.051999999978,-5.0,27.08499999999996,11.812903878583436,0.9918360860129131,nan,nan,5,nan,-1
6575,593,0.9488,9983.752999999979,7018.752999999978,-5.0,27.08499999999996,11.836008431703167,0.9918360860129131,nan,nan,5,nan,-1
6600,594,0.9504,10018.517999999978,7048.517999999978,-5.0,27.08499999999996,11.866191919191882,0.9920978109840819,nan,nan,5,nan,-1
6625,595,0.952,10031.374999999978,7056.374999999978,-5.0,27.08499999999996,11.859453781512569,0.992359095711189,nan,nan,5,nan,-1
6650,595,0.952,10043.045999999977,7068.045999999978,-5.0,27.08499999999996,11.879068907562988,0.992359095711189,nan,nan,5,nan,-1
6675,595,0.952,10060.640999999978,7085.640999999978,-5.0,27.08499999999996,11.908640336134416,0.992359095711189,nan,nan,5,nan,-1
6700,595,0.952,10064.487999999978,7089.487999999978,-5.0,27.08499999999996,11.915105882352904,0.992359095711189,nan,nan,5,nan,-1
6725,595,0.952,10068.138999999977,7093.138999999977,-5.0,27.08499999999996,11.921242016806685,0.992359095711189,nan,nan,5,nan,-1
6750,595,0.952,10079.466999999979,7104.466999999977,-5.0,27.08499999999996,11.94028067226887,0.992359095711189,nan,nan,5,nan,-1
6775,595,0.952,10090.473999999978,7115.473999999978,-5.0,27.08499999999996,11.958779831932736,0.992359095711189,nan,nan,5,nan,-1
6800,595,0.952,10095.516999999978,7120.516999999978,-5.0,27.08499999999996,11.967255462184838,0.992359095711189,nan,nan,5,nan,-1
6825,595,0.952,10099.416999999978,7124.416999999978,-5.0,27.08499999999996,11.973810084033575,0.992359095711189,nan,nan,5,nan,-1
6850,595,0.952,10118.04099999998,7143.040999999977,-5.0,27.08499999999996,12.00511092436971,0.992359095711189,nan,nan,5,nan,-1
6875,596,0.9536,10146.92499999998,7166.924999999977,-5.0,27.08499999999996,12.025041946308686,0.9926199416728049,nan,nan,5,nan,-1
6900,596,0.9536,10153.189999999979,7173.189999999978,-5.0,27.08499999999996,12.03555369127513,0.9926199416728049,nan,nan,5,nan,-1
6925,596,0.9536,10157.156999999977,7177.156999999977,-5.0,27.08499999999996,12.042209731543586,0.9926199416728049,nan,nan,5,nan,-1
6950,596,0.9536,10160.321999999978,7180.321999999978,-5.0,27.08499999999996,12.04752013422815,0.9926199416728049,nan,nan,5,nan,-1
6975,596,0.9536,10186.595999999978,7206.595999999978,-5.0,27.08499999999996,12.0916040268456,0.9926199416728049,nan,nan,5,nan,-1
7000,596,0.9536,10189.751999999979,7209.751999999978,-5.0,27.08499999999996,12.096899328859022,0.9926199416728049,1.0513920666654457,1.2265223910448517,5,1.0,0
7025,596,0.9536,10196.997999999978,7216.997999999978,-5.0,27.08499999999996,12.109057046979828,0.9926199416728049,nan,nan,5,nan,-1
7050,596,0.9536,10208.322999999978,7228.322999999978,-5.0,27.08499999999996,12.128058724832178,0.9926199416728049,nan,nan,5,nan,-1
7075,596,0.9536,10227.393999999977,7247.3939999999775,-5.0,27.08499999999996,12.160057046979828,0.9926199416728049,nan,nan,5,nan,-1
7100,596,0.9536,10227.753999999977,7247.753999999977,-5.0,27.08499999999996,12.160661073825466,0.9926199416728049,nan,nan,5,nan,-1
7125,597,0.9552,10255.995999999977,7270.995999999977,-5.0,27.08499999999996,12.179222780569477,0.9928803503400639,nan,nan,5,nan,-1
7150,597,0.9552,10269.638999999977,7284.638999999977,-5.0,27.08499999999996,12.202075376884384,0.9928803503400639,nan,nan,5,nan,-1
7175,597,0.9552,10276.973999999977,7291.9739999999765,-5.0,27.08499999999996,12.214361809045187,0.9928803503400639,nan,nan,5,nan,-1
7200,597,0.9552,10282.074999999979,7297.074999999977,-5.0,27.08499999999996,12.222906197654902,0.9928803503400639,nan,nan,5,nan,-1
7225,598,0.9568,10320.749999999978,7330.749999999976,-5.0,27.08499999999996,12.258779264214008,0.9931403231767137,nan,nan,5,nan,-1
