evaluation,source,fitness,descriptor_x,descriptor_y,cell_x,cell_y,inserted,replaced,steps,food_collected,wall_collisions,hazard_contacts
1112,mutated_elite,5.3389999999999995,-0.16167396912608697,-0.72959756605366,10,3,True,False,188,1,4,0
1113,mutated_elite,8.08499999999999,-0.6098546964375677,-0.20835581726034746,4,9,True,True,225,2,9,0
1114,mutated_elite,7.974999999999998,-0.9328016642123251,-0.3369575260641109,0,8,False,False,220,2,11,0
1115,mutated_elite,3.953,0.9458930966675472,-0.16330524026907844,24,10,True,False,166,1,2,11
1116,mutated_elite,8.323999999999964,0.03218410129306711,0.17764941171978454,12,14,True,True,213,2,18,5
1117,mutated_elite,6.043999999999999,-0.3597858501024028,0.5450559553711986,8,19,False,False,183,1,32,0
1118,mutated_elite,9.84899999999995,-0.9657894936396342,0.7215193838891766,0,21,True,False,233,2,11,0
1119,mutated_elite,0.7340000000000014,-0.8554781383610537,-0.22956356201390318,1,9,False,False,158,0,28,0
1120,mutated_elite,2.5279999999999987,-0.5568391806320241,-0.01928934436160314,5,12,False,False,141,0,14,0
1121,mutated_elite,5.859999999999992,0.13535035498828168,-0.7252441592629477,14,3,False,False,190,1,44,0
1122,mutated_elite,4.759999999999998,-0.4867687955333644,-0.5071357312764592,6,6,False,False,195,1,8,0
1123,mutated_elite,5.216999999999995,-0.325256523980712,-0.5499977706664203,8,5,False,False,179,1,26,0
1124,mutated_elite,1.1130000000000007,-0.566289229009525,-0.9712220598978747,5,0,False,False,156,0,9,0
1125,mutated_elite,12.645999999999942,0.09140052712891447,-0.08073383185390651,13,11,True,False,257,3,7,8
1126,mutated_elite,-2.8580000000000023,0.9742503808294224,-0.9749188768489709,24,0,False,False,154,0,140,0
1127,mutated_elite,4.016999999999996,-0.893334960078522,0.972187180058853,1,24,True,True,199,1,25,0
1128,mutated_elite,1.0550000000000002,0.5971140314302495,-0.678969493383597,19,4,False,False,125,0,3,11
1129,mutated_elite,5.486999999999999,-0.8049592876493037,0.5210880677770041,2,19,True,False,194,1,5,0
1130,mutated_elite,9.709999999999964,-0.7187670590867253,-0.4866775792317003,3,6,True,True,280,3,0,0
1131,mutated_elite,4.520999999999997,-0.2994411254687236,-0.3244919068216593,8,8,False,False,182,1,17,0
1132,mutated_elite,1.423000000000001,-0.49068813197828126,-0.7633252939257098,6,2,False,False,161,0,0,0
1133,mutated_elite,9.587999999999953,-0.5934573952575894,0.8019054202386842,5,22,True,True,231,2,9,0
1134,mutated_elite,13.00899999999991,-0.9474679798189297,0.8791951689303709,0,23,True,True,278,3,18,0
1135,mutated_elite,1.3160000000000007,-0.8551772340047888,-0.938411184650281,1,0,False,False,157,0,6,0
1136,mutated_elite,3.2039999999999913,0.6214145378372885,-0.5768768458385125,20,5,True,False,178,1,76,3
1137,mutated_elite,4.661999999999997,-0.8460297935295211,0.8713640240337266,1,23,True,False,194,1,17,0
1138,mutated_elite,1.9390000000000005,-0.4866945160163406,0.12925347126155176,6,14,False,False,153,0,4,0
1139,mutated_elite,2.858999999999998,-0.8696072991056016,-0.10420315345953862,1,11,True,True,138,0,18,0
1140,mutated_elite,14.41999999999994,-0.8933174894603777,-0.276175418270902,1,9,True,True,280,4,27,0
1141,mutated_elite,0.8520000000000004,-0.9743990065075891,-0.19503416664218626,0,10,False,False,159,0,21,0
1142,mutated_elite,0.3760000000000004,-0.8413311633245929,-0.00567012914073447,1,12,False,False,157,0,38,0
1143,mutated_elite,5.876999999999997,-0.9336338560415469,0.4023693700596758,0,17,True,True,184,1,7,0
1144,mutated_elite,5.476999999999996,0.4612866753280474,-0.4353670548550832,18,7,True,True,189,1,17,0
1145,mutated_elite,7.171999999999989,0.9749618845733279,0.3662507713889959,24,17,True,False,249,2,66,0
1146,mutated_elite,8.615999999999973,0.7454498263124183,-0.9483439927303257,21,0,True,True,207,2,9,12
1147,mutated_elite,5.087999999999997,-0.07683778970288961,-0.9302825394875031,11,0,True,True,181,1,16,0
1148,mutated_elite,3.0829999999999975,-0.8805954556490933,0.4192096578146618,1,17,True,True,136,0,15,0
1149,mutated_elite,2.129,0.9477355179717186,-0.8662338536188227,24,1,True,True,153,0,5,0
1150,mutated_elite,5.415999999999996,-0.43721532210223213,0.18963012112576177,7,14,True,False,182,1,12,0
1151,mutated_elite,0.9120000000000006,-0.30924579370050537,-0.9744791855273326,8,0,False,False,159,0,18,0
1152,mutated_elite,5.5319999999999965,-0.45389870617117956,-0.22438097242159713,6,9,False,False,179,1,8,0
1153,mutated_elite,3.493999999999998,-0.4855946052143436,0.5033274425214936,6,18,False,False,138,0,5,0
1154,mutated_elite,1.8900000000000006,-0.965320704429169,-0.36354833283796617,0,7,False,False,155,0,2,0
1155,mutated_elite,5.307999999999996,0.2895829548420256,0.4258668068221799,16,17,True,False,161,1,3,7
1156,mutated_elite,1.7960000000000007,-0.8631204039101947,-0.42154169846721234,1,7,False,False,157,0,0,0
1157,mutated_elite,9.426999999999946,-0.9519350984228722,-0.5560384033674936,0,5,True,True,274,3,26,0
1158,mutated_elite,1.285000000000003,0.07128014816821576,-0.8752344600713732,13,1,True,True,145,0,44,0
1159,mutated_elite,4.775999999999998,-0.9656463461338598,-0.25314317259074265,0,9,True,True,187,1,7,0
1160,mutated_elite,10.472999999999955,-0.6787679069975763,0.4288526667529591,4,17,True,True,231,2,10,0
1161,mutated_elite,9.186999999999955,-0.9295750735295777,0.47958347025959486,0,18,True,True,229,2,20,0
1162,mutated_elite,5.097999999999995,-0.2708235880573094,-0.9346319378461443,9,0,False,False,181,1,17,0
1163,mutated_elite,10.377999999999975,0.7599467055078923,0.47262645668680925,21,18,True,False,216,2,10,3
1164,mutated_elite,8.158999999999992,-0.4220695294225308,-0.5728284671411072,7,5,False,False,228,2,5,0
1165,mutated_elite,7.704000000000007,-0.6804539383118996,0.974875978225601,3,24,False,False,243,2,109,0
1166,mutated_elite,2.341,-0.2945338807919262,-0.701095704643452,8,3,False,False,147,0,4,0
1167,mutated_elite,10.294999999999982,0.4963952963884312,0.07288036763412718,18,13,True,False,235,2,7,0
1168,mutated_elite,4.4049999999999985,-0.8821106628728718,-0.948823221438099,1,0,False,False,190,1,8,0
1169,mutated_elite,4.472999999999998,0.4849670392622685,-0.47531796688095673,18,6,False,False,181,1,16,3
1170,mutated_elite,8.035999999999994,-0.19101259391368747,-0.8604359595475364,10,1,True,False,222,2,20,0
1171,mutated_elite,8.393999999999986,-0.19307858386655266,-0.8851294414336526,10,1,True,True,223,2,10,0
1172,mutated_elite,5.630999999999998,-0.5065896579726509,-0.42606087324720393,6,7,True,True,187,1,7,0
1173,mutated_elite,7.718999999999999,-0.9180529411032715,-0.3153642129457361,1,8,False,False,228,2,6,0
1174,mutated_elite,1.1410000000000031,-0.3524802711952525,-0.9634416856900511,8,0,False,False,142,0,41,0
1175,mutated_elite,6.595999999999985,-0.05553864497650776,0.49698652503908564,11,18,True,False,197,2,8,16
