seed,feature,baseline_mean,contribution_mean,mean_difference_contribution_minus_baseline,baseline_median,contribution_median,median_difference_contribution_minus_baseline,baseline_std,contribution_std,cohens_d_contribution_minus_baseline,ks_statistic,ks_p_value,wasserstein_distance,wasserstein_distance_over_pooled_std,histogram_overlap
1003,bbox_area,1.3885576347482462,1.2779045875922883,-0.11065304715595792,1.1635466814041138,1.1494986414909363,-0.01404803991317749,0.9924209196351462,0.9099183181102405,-0.11621714976561186,0.05862500000000004,2.1606529780963683e-12,0.11078686580304414,0.11635769737952376,0.91675
1004,fitness,5.199991374999991,5.4492176249999895,0.24922624999999865,5.072999999999999,5.228999999999999,0.15600000000000058,4.084428923521684,4.598057285176449,0.05730518837306774,0.042749999999999955,8.645997588655412e-07,0.4341924999999983,0.09983492109147112,0.9301250000000001
1004,steps,183.32025,186.053375,2.733125000000001,180.0,180.0,0.0,40.4043338014315,43.28376457875834,0.06527422652371952,0.04112499999999997,2.5773575980843245e-06,3.195125,0.076308003849659,0.93675
1004,food_collected,0.974875,1.089875,0.11499999999999988,1.0,1.0,0.0,0.9942302220185222,1.1107643694208957,0.10909006687659135,0.043875,3.9594790675208296e-07,0.11499999999999994,0.1090900668765914,0.9561250000000001
1004,wall_collisions,23.6855,28.92875,5.24325,12.0,15.0,3.0,30.201437709983278,34.264492166636586,0.16233504805346471,0.08874999999999994,7.289777355410312e-28,5.24375,0.16235052843758274,0.9071250000000001
1004,hazard_contacts,1.51775,1.674375,0.15662500000000001,0.0,0.0,0.0,3.2192289352421026,3.5947313334065734,0.04589928168387381,0.015124999999999944,0.3163012838515121,0.1566249999999998,0.04589928168387374,0.983625
1004,path_length,5.572395919689908,5.892625816095037,0.3202298964051282,5.544167995452881,6.036275386810303,0.4921073913574219,2.4537787176553136,2.5747661539069453,0.12732002863367614,0.08499999999999996,1.3648474578214631e-25,0.34249282397947034,0.13617153378061816,0.914
1004,displacement,1.0885668870810405,1.063341923032337,-0.025224964048703447,1.1688205003738403,1.1351034045219421,-0.03371709585189819,0.5711479714372935,0.5753559514827825,-0.04400022894981416,0.03237500000000004,0.00044606057197282096,0.02579294832422329,0.04499097122062632,0.95325
1004,loop_score,5.71411489188255,5.69177126825694,-0.022343623625610043,5.560552929519725,5.641353763837012,0.08080083431728724,3.255330747770699,3.268289839021308,-0.006849626745049388,0.023625000000000007,0.02264002340857364,0.1512223597110508,0.046358493003751174,0.9452499999999999
1004,bbox_area,1.3042759095105165,1.3671490981562069,0.06287318864569036,1.0591838955879211,1.056589126586914,-0.00259476900100708,1.034220371019807,1.101428570100108,0.05884689176951995,0.043875,3.9594790675208296e-07,0.06892149864126038,0.06450787781722235,0.93625
1005,fitness,4.769194624999991,4.690431374999993,-0.07876324999999795,4.6904999999999974,3.7429999999999968,-0.9475000000000007,4.491172433340319,4.603737133546018,-0.017317884268930304,0.045999999999999985,8.56868260670419e-08,0.2703847499999993,0.05945021070846826,0.933
1005,steps,179.773625,176.899,-2.874625000000009,175.0,172.0,-3.0,40.19121955551206,39.81269959447613,-0.0718568087494921,0.04824999999999999,1.5660036516456916e-08,3.1621249999999996,0.07904342700943148,0.9432499999999999
1005,food_collected,0.9145,0.843625,-0.07087500000000002,1.0,1.0,0.0,1.0075662509234815,1.0414758083484226,-0.06916487363319926,0.05299999999999999,3.316254062616825e-10,0.09312499999999996,0.09087800856566738,0.9470000000000001
1005,wall_collisions,37.80425,38.20025,0.3959999999999937,21.0,24.0,3.0,38.144435137218906,36.2509124014486,0.010641715260339444,0.08912499999999995,4.266262348968308e-28,2.60125,0.06990343894181418,0.89575
1005,hazard_contacts,1.443875,0.9875,-0.456375,0.0,0.0,0.0,3.281592598781116,2.3846055753520328,-0.15909561097662517,0.04512499999999997,1.6234320043464836e-07,0.4586250000000006,0.15987997717700317,0.9548749999999999
1005,path_length,5.877757736576895,6.050506156692048,0.1727484201151528,5.797459840774536,5.876445293426514,0.07898545265197754,2.6754028538299135,2.964726601828448,0.0611726377468345,0.040874999999999995,3.03753151148775e-06,0.23798821990523722,0.08427496560936747,0.9404999999999999
1005,displacement,1.121061342647299,1.1276391912525288,0.006577848605229697,1.195418357849121,1.1923015117645264,-0.0031168460845947266,0.5860414833068526,0.6071830037848961,0.011022913751261515,0.03500000000000003,0.00010811454099820667,0.027128006977378393,0.04546010391870681,0.95
1005,loop_score,4.439551056361183,3.7623231721944057,-0.6772278841667774,3.78704816980352,2.9014124499837246,-0.8856357198197955,2.9287350415616102,2.7909557268816445,-0.23672229740604508,0.1442500000000001,4.269589751240806e-73,0.6885775419960651,0.24068952489170464,0.8567500000000001
1005,bbox_area,1.5544930494100593,1.7551772039730023,0.20068415456294297,1.2121856212615967,1.2998979687690735,0.0877123475074768,1.1421503726051714,1.2777418355442287,0.1655919527945956,0.08737499999999998,5.097740325446882e-27,0.20079349111468742,0.16568217044608194,0.9035000000000001
