sample_index,evaluation,source,fitness,final_x,final_y,latent_0,latent_1,path_length,loop_score,is_loop,is_near_still
77,3952,mutated_elite,0.945000000000003,0.023980986203356897,-0.7760122805828195,0.3306989371776581,2.24200177192688,4.209834098815918,3.1474291854803953,True,False
78,3953,mutated_elite,5.694999999999996,-0.9567654396661321,0.8566186894395432,0.2756431996822357,-18.086101531982422,7.904943943023682,3.6486324131074515,True,False
79,3956,mutated_elite,-1.6299999999999988,-0.9746243267406485,0.9749954740807938,-2.5408551692962646,-11.327518463134766,2.449810266494751,0.677577988308443,False,False
80,4021,mutated_elite,12.484000000000012,-0.14491711947831973,-0.08805228630242021,-4.759579181671143,-6.530592918395996,10.949609756469727,6.310402667255888,True,False
81,4023,mutated_elite,8.37900000000002,0.3017296552616848,-0.7328243671656399,-18.380929946899414,-4.7165117263793945,8.544299125671387,3.5578552527064615,True,False
82,4055,mutated_elite,5.8989999999999965,-0.5137507621925024,-0.4971046914256026,0.8106300830841064,-1.2335515022277832,7.370253086090088,7.14282301721428,True,False
83,4074,mutated_elite,1.6480000000000004,-0.27989421778913515,-0.42051951954320205,-4.632623195648193,-0.5359057188034058,5.174409866333008,2.6378430390120102,True,False
84,4107,mutated_elite,5.893999999999997,-0.9133757490095338,-0.12497248044949805,-1.1750491857528687,0.3392266035079956,8.634161949157715,3.8394727555410175,True,False
85,4173,mutated_elite,10.74499999999996,0.8150927359079483,0.9613639146762145,7.947115421295166,-1.0182280540466309,7.66210412979126,10.183068320779388,True,False
86,4188,mutated_elite,-2.039999999999997,0.5343162115266674,-0.8907182289405333,1.424183964729309,3.2113547325134277,2.0596015453338623,1.4213696518147683,True,False
87,4189,mutated_elite,6.094999999999996,0.5540974662946999,0.8834088266951701,-2.6354568004608154,-4.980929374694824,6.874507904052734,6.624668474323104,True,False
88,4241,mutated_elite,1.4680000000000004,-0.2764006980180541,-0.29879993592198645,-4.009742259979248,-0.13235166668891907,5.2611165046691895,2.5392050897862433,True,False
89,4287,mutated_elite,10.80999999999991,-0.6320524987767125,0.9323117902027104,4.705855369567871,-10.767105102539062,4.797231674194336,7.6097383916439085,True,False
90,4393,mutated_elite,8.968999999999976,0.29914495395029733,-0.7720219411081676,1.2052353620529175,1.3799794912338257,6.095721244812012,8.123153086815059,True,False
91,4433,mutated_elite,4.771999999999999,-0.8296780266186502,-0.24917391434415898,2.1338369846343994,-2.0121376514434814,3.4764955043792725,6.382471787738231,True,False
92,4454,mutated_elite,16.309999999999953,-0.9327154804388904,0.7064512078936607,18.468582153320312,-11.95600700378418,10.165514945983887,7.379803260657042,True,False
93,4498,mutated_elite,-0.44300000000000056,0.9449625564249369,0.5292955177009848,-2.856517791748047,-7.351747512817383,3.2370400428771973,0.858889609721915,False,False
94,4503,mutated_elite,5.345,-0.3883168407611515,-0.21343851179535772,-1.123536229133606,1.5103144645690918,5.78582763671875,5.991414619178505,True,False
95,4636,mutated_elite,9.986999999999963,0.03224433606840695,0.8788871111110984,8.212736129760742,-0.7504466772079468,6.400103569030762,6.888399381323194,True,False
96,4701,mutated_elite,0.5769999999999996,-0.16290512290164608,0.974815791313514,-3.180161237716675,-1.4772616624832153,4.288487911224365,1.6343428427988067,True,False
97,4737,mutated_elite,3.7029999999999967,0.3142946389460092,-0.5009708553486303,2.5318048000335693,1.874155879020691,6.576269149780273,1.7366813885168864,True,False
98,4869,mutated_elite,2.307,0.9447129673910922,0.495534149272262,-7.9040350914001465,-1.692466139793396,5.678037166595459,2.663654779231433,True,False
99,4928,mutated_elite,5.850999999999998,-0.31513068946730216,0.2865111895564215,0.9632648229598999,-7.670658111572266,7.829897880554199,6.021486272492274,True,False
100,5055,mutated_elite,9.105999999999938,-0.3661386962105044,0.920052707299918,2.9623868465423584,-7.086907386779785,7.419097423553467,10.58801718341903,True,False
101,5106,mutated_elite,2.421999999999999,-0.409372180394219,-0.9325618726447586,-9.076562881469727,-0.0023422539234161377,5.765293121337891,2.5983672776850044,True,False
102,5116,mutated_elite,6.4019999999999975,0.9318994281443583,0.17225928794874307,-2.9681408405303955,-2.7372772693634033,6.060070991516113,2.7816585914839096,True,False
103,5129,mutated_elite,1.5660000000000012,-0.16134749700063972,-0.9305597506015482,-0.9763225317001343,3.6303935050964355,1.1829538345336914,6.148912103031811,True,False
104,5133,mutated_elite,5.764999999999998,-0.6600194726433546,0.5362915800062618,-0.8196333646774292,0.8310942649841309,5.632315635681152,3.885532212099989,True,False
105,5141,mutated_elite,2.9009999999999976,0.9285666671319075,-0.5731125728306811,-10.148295402526855,-6.348219871520996,5.258665084838867,1.280549668530855,True,False
106,5181,mutated_elite,9.613999999999967,0.09899164339998037,-0.061062881908281075,1.5627247095108032,-6.769556999206543,8.396191596984863,8.850367274077836,True,False
107,5240,mutated_elite,2.2310000000000003,-0.3945743411381124,-0.629886415267901,0.2838323712348938,1.0060911178588867,3.9813733100891113,5.625986141768446,True,False
108,5271,mutated_elite,-2.2689999999999984,-0.9748554077308115,-0.6493561876568881,-0.7268307209014893,4.643848896026611,2.0006935596466064,1.7486797541588754,True,False
109,5294,mutated_elite,5.882000000000002,0.09449604034990783,-0.7299687567569865,4.110058784484863,5.708931922912598,6.849577903747559,5.233873784872944,True,False
110,5317,mutated_elite,9.875999999999951,0.7856380439575831,-0.8528312764106466,5.318775653839111,-17.985305786132812,6.277573108673096,8.555011073400772,True,False
111,5379,mutated_elite,4.948999999999999,-0.9089201220160481,0.6199360043932485,2.1813533306121826,-3.322377920150757,3.451044797897339,10.742367316102793,True,False
112,5458,mutated_elite,1.7510000000000003,0.12745334012751136,0.18722045699089893,-6.710893154144287,-3.2926418781280518,5.133638381958008,2.512997502158923,True,False
113,5464,mutated_elite,0.19799999999999995,0.9711007325569594,0.5778730708910431,-3.8375232219696045,-12.37541389465332,4.141731262207031,1.2679141980212854,True,False
114,5466,mutated_elite,-3.058000000000003,0.31791011773964645,-0.973205191387693,1.0467708110809326,5.5346574783325195,1.0849194526672363,3.654757726755119,True,False
115,5581,mutated_elite,4.871000000000005,0.44440191229596626,-0.2515655794480491,4.4793782234191895,6.095418930053711,4.215525150299072,3.6582836221866613,True,False
116,5647,mutated_elite,2.8569999999999975,0.5749573895548248,-0.5476053683445421,-8.477044105529785,-6.113885402679443,5.986900806427002,1.5815123920426288,True,False
117,5751,mutated_elite,9.696999999999992,-0.9086790012123896,0.774252009259567,-17.250354766845703,-10.09206771850586,9.469009399414062,2.401046299984949,True,False
118,5811,mutated_elite,13.406000000000008,-0.7469084276382866,-0.24039003711693738,-6.252437591552734,-8.037921905517578,11.804673194885254,3.9491610401519757,True,False
119,5841,mutated_elite,0.2509999999999998,-0.2757859174689265,-0.5439712331530479,-0.3870265781879425,2.965712308883667,1.0243093967437744,6.886103830634143,True,False
120,6107,mutated_elite,2.742999999999999,0.6161260193838746,-0.40331099078877963,4.735665321350098,4.60256290435791,5.883303165435791,2.3304892316028645,True,False
121,6121,mutated_elite,2.6809999999999983,0.9471111234392616,0.6146305545445738,-7.3021016120910645,-2.13600492477417,6.10846471786499,2.305064535436409,True,False
122,6129,mutated_elite,5.3299999999999965,-0.3398530156630633,-0.3747670484803928,0.9343352317810059,-1.0718237161636353,6.818106174468994,7.300943414319891,True,False
123,6169,mutated_elite,0.37099999999999966,-0.5667802860326898,-0.9679325707341054,-0.9702242612838745,2.2794103622436523,3.650434970855713,2.3895600467487292,True,False
124,6175,mutated_elite,8.109999999999982,-0.6285709209206143,-0.29424824424482865,4.228092670440674,-3.5875847339630127,7.981308937072754,9.994076682881172,True,False
125,6177,mutated_elite,10.188000000000006,0.970141724024829,0.6635883812913153,12.802509307861328,-18.677078247070312,7.945107936859131,3.543202827334987,True,False
126,6263,mutated_elite,-1.7269999999999979,-0.97094994085888,0.9732192566689585,-2.7502620220184326,-13.61745548248291,2.2489399909973145,0.40619256419651073,False,False
127,6409,mutated_elite,7.218999999999997,0.28316929766850535,0.047494246513430094,-3.5842926502227783,-7.196665287017822,6.67651891708374,5.335636317971019,True,False
128,6505,mutated_elite,8.595000000000024,0.29423177546144264,0.5081951917636574,-4.771403789520264,-7.73045539855957,6.686678886413574,5.268578431391724,True,False
129,6517,mutated_elite,6.451,0.7333203522742505,-0.8829240535633603,4.306686878204346,5.64724063873291,7.930363178253174,5.190211572930665,True,False
130,6560,mutated_elite,5.146999999999998,0.6181228989268611,-0.7300349577267797,5.145821571350098,-1.8515533208847046,5.196934700012207,5.804039762947822,True,False
131,6580,mutated_elite,2.739999999999999,-0.5069989205122889,-0.6459806716686058,-4.567968845367432,2.9269511699676514,6.84140157699585,3.442527660352778,True,False
132,6609,mutated_elite,8.011999999999997,0.2934961497724435,-0.48443983838773297,6.261923789978027,1.9107109308242798,7.9011688232421875,7.461616177227344,True,False
133,6630,mutated_elite,3.073999999999998,0.6983684244504539,0.048529478671044644,-2.639559745788574,-8.537412643432617,6.243443965911865,1.3371610084475887,True,False
134,6635,mutated_elite,5.673000000000001,0.5595125151881727,-0.7102603105268037,4.135688304901123,5.532071113586426,6.842197418212891,4.890635833166349,True,False
135,6687,mutated_elite,0.873000000000002,-0.27561080632734775,-0.42118940145670875,-2.4960410594940186,3.302386999130249,1.476629614830017,0.8881297254497303,False,False
136,6749,mutated_elite,14.721999999999902,0.5564546090320036,-0.4706380720058971,10.348920822143555,-0.770085334777832,11.039924621582031,11.678714003088322,True,False
137,6754,mutated_elite,3.7859999999999965,-0.2877380651527218,-0.6820787183695017,3.3499257564544678,-2.1603963375091553,2.3617055416107178,8.329286374582264,True,False
138,6842,mutated_elite,9.816999999999942,0.39595200918496315,-0.49643331313722117,8.801151275634766,-0.13079115748405457,8.222855567932129,8.216409757666744,True,False
139,6921,mutated_elite,2.1839999999999997,-0.38529644967069204,-0.7932110039590445,0.14107048511505127,1.3399840593338013,6.130766868591309,4.72870115486424,True,False
140,7014,mutated_elite,17.039999999999957,0.10812343934490778,-0.8175729286331604,21.547216415405273,-11.913740158081055,9.64395809173584,5.976587948092204,True,False
141,7105,mutated_elite,5.011999999999996,-0.9551449125204079,-0.7082707146332375,0.656672477722168,-0.7696599960327148,7.1531572341918945,6.854763279954567,True,False
142,7161,mutated_elite,2.402,-0.8484350148115731,-0.7249612807279087,-1.395944595336914,2.0288994312286377,4.651336193084717,4.751387096955502,True,False
143,7167,mutated_elite,2.589999999999999,-0.7433886629469382,0.02091966752895449,-2.187262535095215,2.691187620162964,4.439412593841553,1.9706073231448007,True,False
144,7188,mutated_elite,2.195000000000001,-0.21018612217910942,0.8469610360584063,-6.641486644744873,-1.3208022117614746,5.533746242523193,3.098223288443771,True,False
145,7212,mutated_elite,0.6319999999999997,-0.5223245573738997,-0.6052010154916055,-2.775223970413208,-0.49989399313926697,4.365171909332275,1.568638851494989,True,False
146,7366,mutated_elite,7.635999999999995,-0.4947071588563786,0.8969262647240761,3.545982599258423,-3.801352024078369,7.621499061584473,7.554342218271511,True,False
147,7395,mutated_elite,2.788999999999998,0.334122149922535,0.93503472913492,-3.222372055053711,-8.942493438720703,5.472616672515869,4.215037537243338,True,False
148,7526,mutated_elite,7.8279999999999985,-0.5235037001175247,-0.46667791590233426,-0.235319584608078,-0.015482097864151001,7.864779472351074,9.964555694596488,True,False
149,7528,mutated_elite,14.835999999999975,-0.8784576485446199,0.2945387505190053,-0.39557647705078125,-4.569125175476074,13.037679672241211,7.640482742699933,True,False
150,7536,mutated_elite,-3.275000000000004,-0.12772164439004724,-0.9742363396886213,0.5273662805557251,4.184480667114258,0.6645325422286987,1.7399821912697813,False,False
151,7537,mutated_elite,-1.3929999999999993,0.773093547075761,0.9682927771905585,-4.041529655456543,-10.694048881530762,2.9900155067443848,0.43563132459268733,False,False
152,7546,mutated_elite,5.653999999999998,-0.284345766476896,-0.7194976349274154,0.22383533418178558,0.10096320509910583,7.529695987701416,6.2977112650861145,True,False
153,7547,mutated_elite,1.5580000000000012,-0.5886791910302975,-0.8545897488834876,-6.358747482299805,0.335635244846344,5.358569622039795,2.630766052339988,True,False
154,7615,mutated_elite,2.9369999999999954,0.18724087809434675,0.899308562472593,0.09023967385292053,7.141141414642334,5.858937740325928,1.2849134005005853,True,False
155,7634,mutated_elite,9.924999999999962,-0.4117899419281996,0.57437094202955,-0.08266940712928772,-10.031187057495117,10.657915115356445,7.2729511741534365,True,False
156,7776,mutated_elite,6.780999999999995,0.3458300580382013,-0.9152332964460375,-15.287396430969238,-3.3983495235443115,8.282520294189453,3.042798883622804,True,False
157,7779,mutated_elite,1.796,0.9162706987894123,0.647614579472427,-3.431847095489502,-1.8960825204849243,4.977096080780029,1.5697547526233875,True,False
158,7846,mutated_elite,2.738999999999999,-0.8443021259936819,-0.48361260381664084,-12.993685722351074,2.191387176513672,6.053851127624512,3.3873612849004555,True,False
159,7910,mutated_elite,-2.4869999999999997,-0.43159959205105203,-0.9735700626693216,0.5206679105758667,6.3215436935424805,2.0294556617736816,1.1638059502892553,True,False
160,8011,mutated_elite,4.912,0.9615545386445954,-0.5628103813710889,5.4551849365234375,-1.8242319822311401,5.281431674957275,4.576610145193953,True,False
161,8044,mutated_elite,3.3629999999999973,-0.9323301174262819,0.10168536443247227,-13.463006973266602,0.8168727159500122,6.599133014678955,2.967093977554272,True,False
162,8130,mutated_elite,7.566999999999998,-0.38512178374975725,-0.588284832573079,2.9538891315460205,-2.135592222213745,5.955558776855469,7.98733431982341,True,False
163,8158,mutated_elite,-1.0499999999999985,-0.8792271554419835,-0.16855373359558876,-0.6990540027618408,5.154000282287598,2.7701199054718018,1.9476568250596868,True,False
164,8166,mutated_elite,9.47699999999998,0.3170654713985244,0.1665108805051766,2.9205434322357178,-5.070558547973633,4.997279167175293,8.458842009886993,True,False
165,8175,mutated_elite,8.537999999999991,0.09873171978378696,-0.7941921278392289,4.558664321899414,-3.341083526611328,9.34002685546875,9.010131166479734,True,False
166,8198,mutated_elite,3.269999999999997,-0.5220357299708556,0.9749413986880024,-6.081477642059326,-1.3422465324401855,5.690851211547852,2.228553515263834,True,False
