map,condition,condition_label,seed,archive_cell_x,archive_cell_y,evaluation,fitness,common_cell_0,common_cell_1,common_cell_2,path_efficiency,loop_score_raw,loop_score_clipped,food_collected_raw,food_collected_clipped,path_length,displacement,bbox_area,is_loop,is_near_still,match_candidate_count,match_descriptor_distance,match_status
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,7,17268,5.3999999999999995,1,4,1,0.21491663617943083,7.408113028728911,7.408113028728911,1.0,1.0,5.663182735443115,1.2171121835708618,0.9869638681411743,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,8,7942,15.505999999999966,1,6,3,0.13035132417734555,10.340415844034917,10.340415844034917,3.0,3.0,10.842487335205078,1.4133325815200806,3.51775860786438,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,9,13213,11.663999999999975,1,4,2,0.13455585982372212,7.320346008586136,7.320346008586136,2.0,2.0,8.932120323181152,1.2018691301345825,2.1662449836730957,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,10,19303,19.149999999999935,0,4,3,0.05901660707461615,6.490639520457963,6.490639520457963,3.0,3.0,12.507709503173828,0.7381625771522522,2.1440305709838867,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,11,18879,19.05499999999998,1,2,4,0.1345531892707559,4.44954555577052,4.44954555577052,4.0,4.0,14.16685676574707,1.9061957597732544,3.71807861328125,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,12,19447,20.804999999999932,1,6,5,0.13821909209162406,9.106991748701482,9.106991748701482,5.0,5.0,10.85724925994873,1.5006791353225708,3.3334743976593018,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,13,13182,19.899999999999928,0,2,5,0.08929137105768635,3.8879027430879285,3.8879027430879285,5.0,5.0,16.007003784179688,1.429287314414978,3.3402864933013916,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,14,17528,23.26499999999989,0,5,3,0.08979594760369121,8.140421019292702,8.140421019292702,3.0,3.0,9.918984413146973,0.8906846046447754,2.2490134239196777,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,15,17795,25.359999999999868,0,5,4,0.09515628542069456,8.145066762184165,8.145066762184165,4.0,4.0,7.997332572937012,0.7609964609146118,1.9122198820114136,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,16,14836,26.479999999999862,0,6,4,0.08402466695887564,10.499854922996285,10.499854922996285,4.0,4.0,10.946356773376465,0.91976398229599,1.895534634590149,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,14,17,15085,26.454999999999878,0,6,4,0.09279993557921862,9.752748189230799,9.752748189230799,4.0,4.0,10.695767402648926,0.9925665259361267,1.9101450443267822,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,6,17439,2.1910000000000007,4,5,0,0.5044152516596642,8.018858830264632,8.018858830264632,0.0,0.0,2.462888240814209,1.2423183917999268,0.2814781069755554,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,7,2135,2.52,4,3,0,0.574577332255534,4.73712323345681,4.73712323345681,0.0,0.0,3.1960229873657227,1.836362361907959,1.7707716226577759,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,8,17653,10.262999999999996,1,5,2,0.21525396845441802,7.915412731427138,7.915412731427138,2.0,2.0,9.439826011657715,2.0319600105285645,2.6700541973114014,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,9,14748,12.953999999999933,0,4,3,0.0825058476857436,7.498667373180977,7.498667373180977,3.0,3.0,9.101408958435059,0.7509194612503052,1.3193851709365845,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,10,16553,16.18999999999994,0,1,3,0.0461445781093871,2.7993515135099103,2.7993515135099103,3.0,3.0,14.935620307922363,0.6891978979110718,3.677914619445801,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,11,17304,20.324999999999935,0,3,3,0.07188862169998816,4.838920069282717,4.838920069282717,3.0,3.0,14.303329467773438,1.0282466411590576,3.730325698852539,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,12,11979,26.91499999999999,0,2,5,0.04997066938116098,4.318890715355364,4.318890715355364,5.0,5.0,14.548672676086426,0.7270069122314453,3.533829689025879,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,13,16914,22.77499999999991,0,4,3,0.10832447467556937,6.883761531094773,6.883761531094773,3.0,3.0,10.156304359436035,1.1001763343811035,2.125291585922241,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,14,9787,22.60999999999995,0,5,4,0.07637677807114256,8.405928382604921,8.405928382604921,4.0,4.0,12.534777641296387,0.9573659300804138,2.2274575233459473,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,15,18173,22.70499999999996,0,4,4,0.06798493184299992,6.818521992654516,6.818521992654516,4.0,4.0,12.797792434692383,0.8700570464134216,2.0525660514831543,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,16,16193,24.154999999999916,1,5,5,0.14155247087758757,8.215096539962323,8.215096539962323,5.0,5.0,11.171916007995605,1.5814123153686523,2.231025218963623,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,17,11167,26.75499999999988,0,5,4,0.10150330303532107,8.134076532463668,8.134076532463668,4.0,4.0,9.565802574157715,0.9709605574607849,2.183316707611084,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,18,18478,26.83999999999987,0,5,4,0.09323848638894347,8.911262812205965,8.911262812205965,4.0,4.0,10.619365692138672,0.9901335835456848,1.93372642993927,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,15,20,14845,25.13999999999994,0,6,5,0.03416103810596271,9.525074002641187,9.525074002641187,5.0,5.0,10.675101280212402,0.36467254161834717,1.9098100662231445,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,7,3610,2.2349999999999994,4,3,0,0.5382747101379239,5.2491861583002235,5.2491861583002235,0.0,0.0,2.9552884101867676,1.5907570123672485,0.6331622004508972,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,8,5205,6.944999999999999,2,2,1,0.2807005584829307,4.488406296508261,4.488406296508261,1.0,1.0,5.192176818847656,1.4574469327926636,1.2395273447036743,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,9,11195,11.617999999999988,0,4,2,0.11260550800064788,6.249879298546533,6.249879298546533,2.0,2.0,9.709227561950684,1.0933125019073486,3.4456875324249268,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,10,17873,11.946999999999985,0,4,2,0.10637348592260754,6.313404307723135,6.313404307723135,2.0,2.0,8.807336807250977,0.9368671178817749,3.5849311351776123,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,11,7412,15.908,0,4,3,0.07874050606924314,6.042287689500538,6.042287689500538,3.0,3.0,13.030119895935059,1.0259982347488403,3.5835163593292236,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,12,16198,18.729999999999936,0,6,3,0.12171349861846098,9.07808274536643,9.07808274536643,3.0,3.0,8.272537231445312,1.006879448890686,1.8521381616592407,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,13,15845,23.2899999999999,0,3,3,0.08305101900813276,4.962698275241504,4.962698275241504,3.0,3.0,11.232537269592285,0.9328736662864685,1.8356715440750122,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,14,12748,23.0999999999999,0,3,3,0.08303705547982371,5.53649123554764,5.53649123554764,3.0,3.0,11.529388427734375,0.9573664665222168,1.857613205909729,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,15,16839,21.654999999999948,0,6,4,0.07698468928806135,9.847607070679787,9.847607070679787,4.0,4.0,9.931766510009766,0.7645939588546753,1.8810017108917236,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,16,13129,23.44499999999995,0,4,4,0.06660801277328082,6.475392109718789,6.475392109718789,4.0,4.0,11.635869979858398,0.7750421762466431,1.9299471378326416,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,17,16608,26.064999999999863,0,6,4,0.08304003434409268,9.574900384418411,9.574900384418411,4.0,4.0,9.513947486877441,0.790038526058197,2.3746795654296875,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,16,18,15439,26.20999999999987,0,6,4,0.10058131350381842,9.21541872504571,9.21541872504571,4.0,4.0,10.33116340637207,1.0391219854354858,2.398526668548584,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,8,6462,6.204,1,2,1,0.13235386728550427,3.9964220028769435,3.9964220028769435,1.0,1.0,7.973104000091553,1.0552711486816406,0.9292099475860596,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,9,17360,11.473999999999988,2,5,2,0.27833212510067057,7.767002131245619,7.767002131245619,2.0,2.0,7.683966636657715,2.1386947631835938,3.1732711791992188,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,10,17124,14.066999999999972,0,4,3,0.08248202701910734,6.185732590373479,6.185732590373479,3.0,3.0,9.487008094787598,0.7825076580047607,3.6884634494781494,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,11,11906,17.21999999999997,0,6,4,0.044550803765536946,9.74760520856776,9.74760520856776,4.0,4.0,10.205215454101562,0.45465055108070374,3.6483561992645264,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,12,17405,17.454999999999973,0,2,4,0.01773015265811156,3.79096505561955,3.79096505561955,4.0,4.0,14.859599113464355,0.26346296072006226,3.6712536811828613,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,13,13202,23.139999999999983,0,3,4,0.049369316948096265,4.619676461076644,4.619676461076644,4.0,4.0,13.527603149414062,0.667848527431488,3.7299726009368896,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,14,12476,20.889999999999965,0,3,5,0.11317593535087248,4.883241318588912,4.883241318588912,5.0,5.0,14.25600814819336,1.6134370565414429,3.663799285888672,True,False,1,nan,unique
horseshoe,contribution_geodesic_niching,Contribution: geodesic niching,1004,17,15,18211,21.59499999999996,0,5,4,0.0931485407283157,7.870235735308933,7.870235735308933,4.0,4.0,10.02694320678711,0.9339951276779175,1.9755496978759766,True,False,1,nan,unique
