rank_within_seed,seed,evaluation,fitness,latent_0,latent_1,euclidean_cell,geodesic_cell,euclidean_centroid_index,geodesic_centroid_index,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,actual_run_inserted,actual_run_replaced,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness,global_rank
7,1003,3270,31.474999999999955,-9.931927680969238,-30.9809627532959,"(7,2)","(6,5)",177,155,1.1544314636612831,6.74036755097844,8.97307288389975,170.49045141590986,161.5173785320101,19.000230313722106,3.1622776601683795,True,True,False,nan,nan,True,32.96499999999989,-1.4899999999999345,13
8,1003,11828,28.659999999999954,-8.12501335144043,-28.330303192138672,"(8,3)","(7,7)",203,182,1.584067527265949,8.95667322574153,9.433317511585528,172.00271147071066,162.56939395912514,18.233533564354804,4.123105625617661,True,True,False,nan,nan,True,28.659999999999954,0.0,14
7,1001,10276,24.949999999999953,-14.766073226928711,-4.416286468505859,"(5,13)","(5,14)",138,139,1.0803120846854153,1.1469417193007108,1.163672235381746,3.1344851581869113,1.9708129228051654,2.6936151459853597,1.0,False,False,True,30.804999999999954,-5.855,True,28.864999999999952,-3.914999999999999,15
9,1003,10607,12.003999999999973,-1.2506822347640991,-11.838397026062012,"(11,10)","(10,10)",285,260,1.1408244139773454,1.1650477244574142,1.3091690075178748,3.3657527289314277,2.0565837214135527,2.5709077358260584,1.0,False,False,True,22.36999999999996,-10.365999999999985,True,23.689999999999987,-11.686000000000014,16
8,1001,16148,3.1899999999999973,-3.266434907913208,-24.202884674072266,"(12,4)","(12,5)",304,305,1.0492796879279906,1.1645043541202975,1.455842713662491,3.628168106832638,2.172325393170147,2.4921429168025897,1.0,False,False,True,6.6649999999999965,-3.474999999999999,True,15.656000000000018,-12.46600000000002,17
1,1002,4325,4.372999999999997,-3.9117207527160645,-19.517574310302734,"(16,6)","(16,7)",406,407,1.4642456463703104,1.4906015533247912,1.4933145123760811,3.706531647695771,2.21321713531969,2.4820837251478514,1.0,False,False,True,12.266999999999985,-7.893999999999989,True,15.354999999999967,-10.981999999999971,18
9,1001,4624,24.499999999999947,-15.246904373168945,-4.53804874420166,"(5,13)","(5,14)",138,139,1.1546386440383198,1.4199737985376386,1.421891082487812,3.3927040052929773,1.9708129228051654,2.386050554137334,1.0,False,False,True,30.804999999999954,-6.305000000000007,True,28.864999999999952,-4.3650000000000055,19
2,1002,7885,-1.9899999999999975,14.481691360473633,-9.874298095703125,"(22,10)","(21,10)",560,535,1.659522401308882,1.8614930370545437,1.9953749215068923,4.750567671919875,2.7551927504129825,2.38078950512833,1.0,False,False,True,-2.146999999999998,0.15700000000000047,True,6.699999999999999,-8.689999999999998,20
10,1003,5669,8.97999999999999,20.589658737182617,-0.715954065322876,"(20,14)","(20,15)",514,515,1.246795650763161,1.2543471981771628,1.257347960940786,2.9912719577123896,1.7339239967716036,2.379032734482051,1.0,False,False,True,14.35899999999997,-5.37899999999998,True,13.238999999999988,-4.258999999999999,21
3,1002,12657,17.894999999999925,-16.857219696044922,9.689457893371582,"(12,17)","(12,16)",317,316,1.4645615181787404,1.9318615502050551,1.9884399619881916,4.664576722714408,2.676136760726216,2.34584740393691,1.0,False,False,True,25.194999999999997,-7.300000000000072,True,25.119999999999948,-7.225000000000023,22
