seed,evaluation,fitness,source,blowup_ratio,geodesic_cell_x,geodesic_cell_y,geodesic_cell_arrival_rank,geodesic_cell_first_evaluation,evaluations_since_first_geodesic_cell_arrival,actual_run_inserted,actual_run_replaced
1001,11369,21.85999999999994,mutated_elite,1.433380704536746,8,15,1,11369,0,True,False
1001,11384,18.984999999999918,mutated_elite,1.3201189080662443,8,13,1,11384,0,True,False
1001,11392,5.642999999999997,mutated_elite,1.0740624279407838,16,7,14,10003,1389,False,False
1001,11393,1.998,mutated_elite,1.5485062774354885,20,7,4,10667,726,False,False
1001,11400,9.324999999999974,mutated_elite,1.1755282465854642,13,7,9,10045,1355,False,False
1001,11415,6.878999999999992,mutated_elite,1.1300508927852704,13,5,6,10121,1294,False,False
1001,11420,0.14700000000000157,mutated_elite,1.506571902535312,18,7,15,10120,1300,False,False
1001,11457,4.091999999999998,mutated_elite,1.0689266256583498,20,15,1,11457,0,True,False
1001,11460,10.781999999999991,mutated_elite,1.4739174017282204,18,18,4,10149,1311,False,False
1001,11462,7.372999999999997,mutated_elite,1.0633065408753473,17,18,13,10022,1440,False,False
1001,11463,13.39099999999993,mutated_elite,1.3938099902224719,13,9,6,10128,1335,False,False
1001,11464,13.369999999999962,mutated_elite,1.1023939805729135,15,9,7,10108,1356,False,False
1001,11467,10.03699999999995,mutated_elite,1.2607515028156346,13,7,10,10045,1422,False,False
1001,11481,20.93999999999993,mutated_elite,1.0180226433703699,10,16,1,11481,0,False,False
1001,11484,9.71899999999997,mutated_elite,1.1007730580284756,15,8,25,10016,1468,False,False
1001,11493,2.5989999999999993,mutated_elite,1.1528482403376676,19,6,24,10096,1397,False,False
1001,11502,17.109999999999953,mutated_elite,1.3792163129290707,13,15,8,10024,1478,False,False
1001,11514,17.18499999999997,mutated_elite,1.01030643219268,14,13,6,10374,1140,False,False
1001,11516,9.896999999999982,mutated_elite,1.1738976759455968,16,8,13,10009,1507,False,False
1001,11517,8.737999999999994,mutated_elite,1.0392806893132978,16,6,28,10041,1476,False,False
1001,11521,2.1689999999999996,mutated_elite,1.0504534731859292,17,11,69,10031,1490,False,False
1001,11524,3.236999999999998,mutated_elite,1.107408397292294,18,9,28,10080,1444,False,False
1001,11525,8.478999999999974,mutated_elite,1.3188972639169567,15,14,15,10046,1479,False,False
1001,11535,3.007999999999999,mutated_elite,1.410928751238714,18,7,18,10120,1415,False,False
1001,11545,7.224999999999995,mutated_elite,1.003031114724922,18,12,12,10032,1513,False,False
1001,11561,6.887999999999996,mutated_elite,1.250464131658121,19,6,25,10096,1465,False,False
1001,11563,8.865999999999975,mutated_elite,1.0151229751330582,20,11,1,11563,0,True,False
1001,11567,6.705999999999995,mutated_elite,1.2583676126341043,17,20,6,10320,1247,False,False
1001,11568,9.79699999999994,mutated_elite,1.3199362906463186,16,5,37,10027,1541,False,False
1001,11571,24.32499999999994,mutated_elite,1.140648113922198,7,13,1,11571,0,True,False
1001,11576,10.690999999999947,mutated_elite,1.074996021525326,10,9,1,11576,0,True,True
1001,11584,18.154999999999916,mutated_elite,1.3781193977300248,11,15,3,10455,1129,False,False
1001,11587,2.6689999999999965,mutated_elite,1.148806857869838,17,11,76,10031,1556,False,False
1001,11590,6.858999999999996,mutated_elite,1.0739452708863513,16,5,38,10027,1563,False,False
1001,11598,7.877,mutated_elite,1.7670672687804312,17,8,38,10094,1504,False,False
1001,11604,6.128999999999997,mutated_elite,1.2692844693061107,14,7,11,10336,1268,False,False
1001,11618,16.04999999999992,mutated_elite,1.6822594366801777,12,15,10,10343,1275,False,False
1001,11624,10.448999999999968,mutated_elite,1.0147002173237358,12,10,13,10019,1605,False,False
1001,11631,12.968999999999955,mutated_elite,1.057322595809048,15,8,28,10016,1615,False,False
1001,11638,21.34499999999998,mutated_elite,1.146403622138265,11,16,5,10061,1577,True,True
1001,11640,2.2229999999999985,mutated_elite,1.2531715508088066,17,17,15,10118,1522,False,False
1001,11643,20.379999999999928,mutated_elite,1.4777511037893785,7,13,2,11571,72,False,False
1001,11648,15.632999999999926,mutated_elite,1.436680379500592,14,13,7,10374,1274,False,False
1001,11649,2.7429999999999986,mutated_elite,1.0162367196248958,17,19,4,10075,1574,False,False
1001,11653,9.708999999999978,mutated_elite,1.0745310576852911,15,6,22,10007,1646,False,False
1001,11660,13.482999999999917,mutated_elite,1.031844229009199,14,5,6,10090,1570,False,False
1001,11675,20.10999999999999,mutated_elite,1.1439669288164969,9,13,1,11675,0,True,False
1001,11676,13.754999999999939,mutated_elite,1.4024293104798637,15,16,3,10779,897,False,False
1001,11677,7.0619999999999985,mutated_elite,1.1607744912757312,20,14,25,10006,1671,False,False
1001,11679,19.539999999999917,mutated_elite,1.0420843351949522,9,11,7,10751,928,False,False
1001,11682,14.053999999999956,mutated_elite,1.0114671978031173,14,12,1,11682,0,True,False
1001,11690,6.839999999999999,mutated_elite,1.3320155752098994,18,17,7,10418,1272,False,False
1001,11700,5.30999999999999,mutated_elite,1.4188444113990144,16,11,14,10010,1690,False,False
1001,11706,14.728999999999955,mutated_elite,1.6268289457915825,14,13,8,10374,1332,False,False
1001,11709,6.637999999999998,mutated_elite,1.066182535938135,19,7,14,10155,1554,False,False
1001,11713,-1.0870000000000004,mutated_elite,1.0845747198460325,19,7,15,10155,1558,False,False
1001,11716,6.249999999999998,mutated_elite,1.0215022222466148,16,11,15,10010,1706,False,False
1001,11722,2.728999999999999,mutated_elite,1.0140534149380287,18,8,39,10065,1657,False,False
1001,11723,11.290999999999935,mutated_elite,1.273258846817485,12,10,14,10019,1704,False,False
1001,11735,22.29999999999993,mutated_elite,1.536343410768551,9,11,8,10751,984,True,True
1001,11747,21.269999999999957,mutated_elite,1.3624050095925864,10,17,6,10977,770,False,False
1001,11748,9.650999999999922,mutated_elite,1.5148631767130025,14,3,4,10691,1057,False,False
1001,11751,24.334999999999905,mutated_elite,2.592999014189821,10,17,7,10977,774,True,True
1001,11754,14.877999999999949,mutated_elite,1.0359214655878473,14,13,9,10374,1380,False,False
1001,11776,10.238000000000014,mutated_elite,1.136231226038147,13,11,5,10849,927,False,False
1001,11784,7.039999999999993,mutated_elite,1.7105760573629774,20,7,5,10667,1117,False,False
1001,11793,5.288999999999995,mutated_elite,1.1726761024708665,19,16,2,11692,101,False,False
1001,11799,5.7040000000000015,mutated_elite,1.2134800031186195,16,18,10,10182,1617,False,False
1001,11803,9.309999999999931,mutated_elite,1.3843047441815317,15,6,24,10007,1796,False,False
1001,11805,19.564999999999937,mutated_elite,1.3180051435554503,11,14,1,11805,0,True,False
1001,11806,10.273000000000007,mutated_elite,1.2093529098129105,15,13,2,11214,592,True,True
1001,11812,11.918000000000013,mutated_elite,1.0394787573970485,16,8,17,10009,1803,False,False
1001,11814,12.51099999999999,mutated_elite,1.0372073483176962,20,10,5,10645,1169,False,False
1001,11822,7.491999999999998,mutated_elite,1.0588823793266866,20,13,15,10069,1753,False,False
1001,11823,15.114999999999975,mutated_elite,1.1533406857679394,18,18,7,10149,1674,False,False
1001,11827,9.880999999999952,mutated_elite,1.4704691201255067,15,6,25,10007,1820,False,False
1001,11835,-0.7930000000000009,mutated_elite,1.0709368223565805,17,13,50,10021,1814,False,False
1001,11839,6.340999999999993,mutated_elite,1.4652013942144773,19,8,10,10049,1790,False,False
1001,11844,11.425999999999966,mutated_elite,1.0861246572722258,19,18,3,10530,1314,False,False
1001,11849,13.842999999999943,mutated_elite,1.0282911021994037,18,11,32,10062,1787,False,False
1001,11859,15.03299999999997,mutated_elite,1.160106005531407,17,10,98,10012,1847,False,False
1001,11868,2.3699999999999997,mutated_elite,1.2721287735037663,18,13,43,10048,1820,False,False
1001,11872,9.25799999999997,mutated_elite,1.312490309424554,16,16,22,10101,1771,False,False
1001,11873,10.293999999999977,mutated_elite,1.031051356695175,18,18,8,10149,1724,False,False
1001,11882,5.3939999999999975,mutated_elite,1.253574013078578,15,4,4,10067,1815,False,False
1001,11891,7.500999999999999,mutated_elite,1.0674120830428557,16,6,32,10041,1850,False,False
1001,11897,10.213999999999942,mutated_elite,1.038941360269538,17,6,2,11208,689,True,True
1001,11910,9.34899999999999,mutated_elite,1.0477931047488394,18,11,33,10062,1848,False,False
1001,11915,5.790999999999996,mutated_elite,1.062756593089538,19,14,34,10013,1902,False,False
1001,11921,9.09299999999996,mutated_elite,1.6521944331223084,14,3,5,10691,1230,False,False
1001,11938,12.946999999999912,mutated_elite,1.0060228649612306,14,14,13,10083,1855,False,False
1001,11943,4.872999999999993,mutated_elite,1.0108945863534884,18,13,46,10048,1895,False,False
1001,11945,5.4259999999999975,mutated_elite,1.013225838393356,17,9,153,10014,1931,False,False
1001,11947,28.039999999999885,mutated_elite,1.5805014180419659,10,12,2,11190,757,True,True
1001,11948,21.154999999999905,mutated_elite,1.1784294270547755,9,12,3,10183,1765,False,False
1001,11959,2.383,mutated_elite,1.6262976129448794,18,11,36,10062,1897,False,False
1001,11960,3.3049999999999984,mutated_elite,1.6558766403265215,17,20,8,10320,1640,False,False
1001,11971,6.263999999999993,mutated_elite,1.0614435246783525,16,7,20,10003,1968,False,False
1001,11992,10.771999999999936,mutated_elite,1.0696796193084634,14,11,4,10734,1258,False,False
1001,12001,15.859999999999905,mutated_elite,1.4230071656347076,13,15,11,10024,1977,False,False
1001,12020,13.046999999999965,mutated_elite,1.7703747228801279,16,15,13,10163,1857,True,True
1001,12031,11.073999999999971,mutated_elite,1.0365384733319762,15,14,16,10046,1985,False,False
1001,12042,9.696999999999957,mutated_elite,1.1301170965197125,11,10,16,10110,1932,False,False
1001,12057,15.945999999999993,mutated_elite,1.5315896452514255,12,10,15,10019,2038,False,False
