map,seed,evaluation,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction
horseshoe,1004,10250,3,583,93,490,42,0.5523156089193825,163,0.2608
horseshoe,1004,10250,5,583,93,490,12,0.9399656946826758,193,0.3088
horseshoe,1004,10250,10,583,93,490,3,0.9948542024013722,227,0.3632
horseshoe,1004,10250,20,583,93,490,3,0.9948542024013722,299,0.4784
horseshoe,1004,10250,30,583,93,490,2,0.9982847341337907,352,0.5632
horseshoe,1004,10500,3,580,99,481,30,0.7224137931034482,166,0.2656
horseshoe,1004,10500,5,580,99,481,9,0.896551724137931,189,0.3024
horseshoe,1004,10500,10,580,99,481,4,0.9741379310344828,226,0.3616
horseshoe,1004,10500,20,580,99,481,2,0.9982758620689656,300,0.48
horseshoe,1004,10500,30,580,99,481,2,0.9982758620689656,349,0.5584
horseshoe,1004,10750,3,579,108,471,40,0.5889464594127807,175,0.28
horseshoe,1004,10750,5,579,108,471,9,0.9654576856649395,200,0.32
horseshoe,1004,10750,10,579,108,471,2,0.998272884283247,235,0.376
horseshoe,1004,10750,20,579,108,471,2,0.998272884283247,314,0.5024
horseshoe,1004,10750,30,579,108,471,2,0.998272884283247,357,0.5712
horseshoe,1004,11000,3,585,111,474,30,0.8495726495726496,173,0.2768
horseshoe,1004,11000,5,585,111,474,10,0.9264957264957265,201,0.3216
horseshoe,1004,11000,10,585,111,474,3,0.9965811965811966,237,0.3792
horseshoe,1004,11000,20,585,111,474,2,0.9982905982905983,314,0.5024
horseshoe,1004,11000,30,585,111,474,2,0.9982905982905983,363,0.5808
horseshoe,1004,11250,3,589,119,470,31,0.6740237691001698,177,0.2832
horseshoe,1004,11250,5,589,119,470,9,0.9303904923599321,203,0.3248
horseshoe,1004,11250,10,589,119,470,2,0.99830220713073,242,0.3872
horseshoe,1004,11250,20,589,119,470,2,0.99830220713073,316,0.5056
horseshoe,1004,11250,30,589,119,470,2,0.99830220713073,361,0.5776
horseshoe,1004,11500,3,594,122,472,32,0.5404040404040404,180,0.288
