map,seed,snapshot_evaluation,encoder_space,k,routing_point_count,archive_elite_point_count,rolling_point_count,component_count,largest_component_fraction,reachable_centroid_count,reachable_centroid_fraction,support_finite_pair_fraction,support_mean_euclidean_finite,support_mean_geodesic_finite,support_geodesic_to_euclidean_ratio
horseshoe,1003,20000,final_one_retrain_encoder,5,701,212,489,14,0.8787446504992867,306,0.4896,0.3753368052591138,14.703744318421121,21.380362749708475,1.454076069788752
horseshoe,1003,20000,final_one_retrain_encoder,10,701,212,489,6,0.9728958630527818,328,0.5248,0.5304601724579527,19.736828054970385,21.673401246457754,1.0981197782183483
horseshoe,1003,20000,final_one_retrain_encoder,20,701,212,489,1,1.0,406,0.6496,0.6968564842482712,23.612679630212522,25.128142649379658,1.0641800525353375
horseshoe,1003,20000,final_one_retrain_encoder,30,701,212,489,1,1.0,449,0.7184,0.7520703491846666,24.651047754430838,25.771669963955944,1.0454594149785654
horseshoe,1004,2000,pre_retrain_encoder,3,581,125,456,62,0.5714285714285714,241,0.3856,0.08668001623968677,1.5476802635522628,2.0195508453955915,1.3048889314904637
horseshoe,1004,2000,pre_retrain_encoder,5,581,125,456,30,0.7951807228915663,270,0.432,0.21257749977636026,6.627374018235199,16.4577880199031,2.4833045448498225
horseshoe,1004,2000,pre_retrain_encoder,10,581,125,456,10,0.9707401032702238,304,0.4864,0.42050879764386917,12.423289171343194,15.368724313113724,1.237089799741985
horseshoe,1004,2000,pre_retrain_encoder,20,581,125,456,3,0.9965576592082617,397,0.6352,0.6106851633946451,16.582310591859972,18.02774750392872,1.0871674007106278
horseshoe,1004,2000,pre_retrain_encoder,30,581,125,456,2,0.9982788296041308,448,0.7168,0.6883122423842062,18.014325353274792,19.15968627177455,1.0635805613609364
horseshoe,1004,10000,final_one_retrain_encoder,3,585,93,492,35,0.4017094017094017,150,0.24,0.06569598534407918,5.072203418921469,8.497190048978778,1.6752463076068
horseshoe,1004,10000,final_one_retrain_encoder,5,585,93,492,14,0.9179487179487179,179,0.2864,0.28443013487001756,10.460641178693878,13.913074817777591,1.3300403464861783
horseshoe,1004,10000,final_one_retrain_encoder,10,585,93,492,5,0.9880341880341881,220,0.352,0.38276288716171414,13.183259897808213,15.251465179451381,1.1568811733725297
horseshoe,1004,10000,final_one_retrain_encoder,20,585,93,492,3,0.9965811965811966,289,0.4624,0.46667760392100566,16.07657372917236,16.957024857527117,1.0547660927749238
horseshoe,1004,10000,final_one_retrain_encoder,30,585,93,492,3,0.9965811965811966,341,0.5456,0.515974543540526,17.40676041229775,18.079780190285895,1.0386642753761728
horseshoe,1004,20000,final_one_retrain_encoder,3,665,177,488,41,0.3684210526315789,217,0.3472,0.06853218347255549,6.731718300625608,10.478263141477663,1.5565510429192904
horseshoe,1004,20000,final_one_retrain_encoder,5,665,177,488,7,0.9473684210526315,248,0.3968,0.42276748395787855,18.58022675761784,24.382404521842428,1.312277015771388
horseshoe,1004,20000,final_one_retrain_encoder,10,665,177,488,1,1.0,283,0.4528,0.5399029353924982,21.77851738684418,23.785091805012517,1.0921354921699333
horseshoe,1004,20000,final_one_retrain_encoder,20,665,177,488,1,1.0,347,0.5552,0.6153030111678424,23.524104693079387,24.467917969132028,1.0401211135712343
horseshoe,1004,20000,final_one_retrain_encoder,30,665,177,488,1,1.0,392,0.6272,0.6712685153445072,24.465910683039187,25.184321820708146,1.0293637603347825
horseshoe,1005,2000,pre_retrain_encoder,3,567,105,462,49,0.564373897707231,187,0.2992,0.08232464963738102,1.5757309214866773,2.248687939601433,1.4270761009626132
horseshoe,1005,2000,pre_retrain_encoder,5,567,105,462,21,0.9047619047619048,218,0.3488,0.2657923802117672,8.813319472170598,11.398329773642594,1.2933072277289575
