evaluation,event,filled_cells,coverage,qd_score,raw_qd_score,qd_score_fitness_floor,max_fitness,mean_fitness,occupancy_entropy,mean_pairwise_descriptor_euclidean,mean_pairwise_descriptor_knn_geodesic,pairwise_geodesic_k,pairwise_geodesic_finite_fraction,pairwise_geodesic_disconnected_pairs
5500,log,200,0.32,4002.6279999999947,3002.6279999999942,-5.0,29.264999999999905,15.013139999999972,0.8230074185550448,nan,nan,5,nan,-1
5600,log,202,0.3232,4084.9469999999947,3074.9469999999947,-5.0,29.264999999999905,15.222509900990072,0.8245530405974199,nan,nan,5,nan,-1
5700,log,203,0.3248,4111.340999999995,3096.340999999995,-5.0,29.264999999999905,15.252911330049235,0.8253201223224168,nan,nan,5,nan,-1
5800,log,204,0.3264,4144.459999999995,3124.4599999999946,-5.0,29.264999999999905,15.315980392156836,0.8260834345888398,nan,nan,5,nan,-1
5900,log,204,0.3264,4153.853999999995,3133.853999999995,-5.0,29.264999999999905,15.36202941176468,0.8260834345888398,nan,nan,5,nan,-1
6000,log,205,0.328,4174.921999999995,3149.9219999999946,-5.0,29.264999999999905,15.365473170731681,0.826843014262031,24.086810997051668,26.730354094568224,5,1.0,0
6100,log,205,0.328,4190.181999999994,3165.1819999999943,-5.0,29.264999999999905,15.439912195121924,0.826843014262031,nan,nan,5,nan,-1
6200,log,205,0.328,4201.346999999994,3176.3469999999943,-5.0,29.264999999999905,15.49437560975607,0.826843014262031,nan,nan,5,nan,-1
6300,log,208,0.3328,4276.886999999994,3236.8869999999943,-5.0,29.264999999999905,15.561956730769204,0.8290997183651636,nan,nan,5,nan,-1
6400,log,209,0.3344,4310.739999999995,3265.7399999999943,-5.0,29.264999999999905,15.625550239234423,0.8298447257100322,nan,nan,5,nan,-1
6500,log,210,0.336,4345.519999999994,3295.519999999994,-5.0,29.264999999999905,15.692952380952352,0.8305861769203865,nan,nan,5,nan,-1
6600,log,210,0.336,4372.6379999999945,3322.6379999999945,-5.0,29.264999999999905,15.822085714285688,0.8305861769203865,nan,nan,5,nan,-1
6700,log,212,0.3392,4463.1739999999945,3403.1739999999945,-5.0,29.264999999999905,16.052707547169785,0.8320585456090624,nan,nan,5,nan,-1
6800,log,213,0.3408,4488.677999999994,3423.6779999999944,-5.0,29.264999999999905,16.073605633802792,0.8327895292340064,nan,nan,5,nan,-1
6900,log,219,0.3504,4637.502999999993,3542.5029999999942,-5.0,29.264999999999905,16.1758127853881,0.8371046326456475,nan,nan,5,nan,-1
7000,log,219,0.3504,4639.267999999994,3544.2679999999937,-5.0,29.264999999999905,16.18387214611869,0.8371046326456475,25.584812788419953,28.826662558941965,5,1.0,0
7100,log,221,0.3536,4697.5349999999935,3592.534999999994,-5.0,29.264999999999905,16.25581447963798,0.8385167672224175,nan,nan,5,nan,-1
7200,log,223,0.3568,4768.965999999993,3653.965999999994,-5.0,30.81999999999994,16.385497757847507,0.8399161796931883,nan,nan,5,nan,-1
7300,log,223,0.3568,4781.181999999993,3666.181999999994,-5.0,30.81999999999994,16.4402780269058,0.8399161796931883,nan,nan,5,nan,-1
7400,log,226,0.3616,4876.815999999993,3746.815999999994,-5.0,30.81999999999994,16.578831858407053,0.8419919397627329,nan,nan,5,nan,-1
7500,log,227,0.3632,4908.8699999999935,3773.8699999999935,-5.0,30.81999999999994,16.624977973568253,0.8426777410252432,nan,nan,5,nan,-1
7600,log,229,0.3664,4964.8789999999935,3819.8789999999944,-5.0,30.81999999999994,16.68069432314408,0.8440403263733741,nan,nan,5,nan,-1
7700,log,229,0.3664,4965.173999999994,3820.1739999999936,-5.0,30.81999999999994,16.681982532751064,0.8440403263733741,nan,nan,5,nan,-1
7800,log,229,0.3664,4974.213999999994,3829.2139999999936,-5.0,30.81999999999994,16.721458515283814,0.8440403263733741,nan,nan,5,nan,-1
7900,log,230,0.368,5009.296999999993,3859.2969999999937,-5.0,30.81999999999994,16.779552173913014,0.8447171628849433,nan,nan,5,nan,-1
8000,log,231,0.3696,5043.194999999993,3888.194999999994,-5.0,30.81999999999994,16.83201298701296,0.8453910630032827,26.4751095420652,29.59756525692344,5,1.0,0
8100,log,231,0.3696,5061.9679999999935,3906.967999999994,-5.0,30.81999999999994,16.91328138528136,0.8453910630032827,nan,nan,5,nan,-1
8200,log,233,0.3728,5108.021999999994,3943.0219999999936,-5.0,30.81999999999994,16.92284120171671,0.846730155207043,nan,nan,5,nan,-1
8300,log,233,0.3728,5118.4189999999935,3953.4189999999935,-5.0,30.81999999999994,16.967463519313277,0.846730155207043,nan,nan,5,nan,-1
8400,log,234,0.3744,5148.778999999993,3978.778999999994,-5.0,30.81999999999994,17.003329059829035,0.8473953970531116,nan,nan,5,nan,-1
8500,log,235,0.376,5182.206999999993,4007.206999999994,-5.0,30.81999999999994,17.051944680851037,0.8480578020383415,nan,nan,5,nan,-1
8600,log,236,0.3776,5221.432999999994,4041.4329999999936,-5.0,30.81999999999994,17.124716101694887,0.8487173942550784,nan,nan,5,nan,-1
8700,log,237,0.3792,5252.508999999994,4067.5089999999936,-5.0,30.81999999999994,17.162485232067485,0.8493741974900547,nan,nan,5,nan,-1
8800,log,237,0.3792,5255.599999999993,4070.599999999994,-5.0,30.81999999999994,17.17552742616031,0.8493741974900547,nan,nan,5,nan,-1
8900,log,237,0.3792,5265.142999999993,4080.1429999999937,-5.0,30.81999999999994,17.215793248945122,0.8493741974900547,nan,nan,5,nan,-1
9000,log,237,0.3792,5272.834999999994,4087.8349999999937,-5.0,30.81999999999994,17.24824894514765,0.8493741974900547,26.761430984194437,29.725690073961356,5,1.0,0
9100,log,237,0.3792,5275.568999999994,4090.5689999999936,-5.0,30.81999999999994,17.259784810126554,0.8493741974900547,nan,nan,5,nan,-1
9200,log,238,0.3808,5309.678999999994,4119.678999999994,-5.0,30.81999999999994,17.309575630252073,0.8500282352295372,nan,nan,5,nan,-1
9300,log,239,0.3824,5342.323999999993,4147.323999999994,-5.0,30.81999999999994,17.352820083681983,0.8506795306643662,nan,nan,5,nan,-1
9400,log,239,0.3824,5346.302999999993,4151.302999999994,-5.0,30.81999999999994,17.369468619246838,0.8506795306643662,nan,nan,5,nan,-1
9500,log,239,0.3824,5352.560999999993,4157.560999999994,-5.0,30.81999999999994,17.395652719665247,0.8506795306643662,nan,nan,5,nan,-1
9600,log,240,0.384,5389.825999999994,4189.825999999994,-5.0,30.81999999999994,17.457608333333308,0.8513281066948895,nan,nan,5,nan,-1
9700,log,240,0.384,5392.630999999994,4192.630999999994,-5.0,30.81999999999994,17.46929583333331,0.8513281066948895,nan,nan,5,nan,-1
9800,log,241,0.3856,5418.775999999994,4213.7759999999935,-5.0,30.81999999999994,17.484547717842297,0.8519739859357939,nan,nan,5,nan,-1
9900,log,243,0.3888,5481.162999999993,4266.162999999993,-5.0,30.81999999999994,17.556226337448532,0.8532577431074816,nan,nan,5,nan,-1
10000,retrain,231,0.3696,5019.028999999993,3864.028999999994,-5.0,30.81999999999994,16.727398268398243,0.8453910630032827,18.296904991867013,20.222675552540633,5,1.0,0
10000,log,231,0.3696,5019.028999999993,3864.028999999994,-5.0,30.81999999999994,16.727398268398243,0.8453910630032827,18.296904991867013,20.222675552540633,5,1.0,0
10100,log,232,0.3712,5059.0889999999945,3899.088999999994,-5.0,30.81999999999994,16.80641810344825,0.8460620520969198,nan,nan,5,nan,-1
10200,log,233,0.3728,5084.629999999994,3919.6299999999933,-5.0,30.81999999999994,16.8224463519313,0.846730155207043,nan,nan,5,nan,-1
10300,log,234,0.3744,5128.076999999994,3958.0769999999943,-5.0,30.81999999999994,16.91485897435895,0.8473953970531116,nan,nan,5,nan,-1
10400,log,235,0.376,5159.407999999994,3984.407999999994,-5.0,30.81999999999994,16.95492765957444,0.8480578020383415,nan,nan,5,nan,-1
10500,log,236,0.3776,5197.953999999994,4017.953999999994,-5.0,30.81999999999994,17.025228813559295,0.8487173942550784,nan,nan,5,nan,-1
10600,log,236,0.3776,5199.694999999994,4019.694999999994,-5.0,30.81999999999994,17.032605932203364,0.8487173942550784,nan,nan,5,nan,-1
10700,log,236,0.3776,5202.444999999994,4022.444999999994,-5.0,30.81999999999994,17.044258474576246,0.8487173942550784,nan,nan,5,nan,-1
