seed,evaluation,graph_state_evaluation,latent_0,latent_1,fitness,source,actual_run_inserted,actual_run_replaced,actual_run_cell_x,actual_run_cell_y,euclidean_centroid_index,euclidean_cell_x,euclidean_cell_y,geodesic_centroid_index,geodesic_cell_x,geodesic_cell_y,assignment_disagrees,euclidean_distance_to_euclidean_choice,euclidean_distance_to_geodesic_choice,geodesic_distance_to_geodesic_choice,geodesic_distance_to_euclidean_choice,geodesic_gap_euclidean_choice_minus_geodesic_choice,geodesic_blowup_ratio_euclidean_choice_over_geodesic_choice,centroid_cell_displacement,synthetic_like_large_blowup_ratio_ge_2,synthetic_like_very_large_blowup_ratio_ge_5,final_euclidean_cell_occupied,final_euclidean_cell_fitness,candidate_minus_final_euclidean_cell_fitness,final_geodesic_cell_occupied,final_geodesic_cell_fitness,candidate_minus_final_geodesic_cell_fitness
1003,15624,15500,2.3280961513519287,-4.235610485076904,9.793000000000015,mutated_elite,False,False,12,13,313,12,13,313,12,13,False,0.2696022831665953,0.2696022831665953,0.2792074251704947,0.2792074251704947,0.0,1.0,0.0,False,False,True,21.964999999999936,-12.17199999999992,True,21.964999999999936,-12.17199999999992
1003,15625,15500,18.624298095703125,-0.41677746176719666,9.202999999999998,mutated_elite,False,False,19,15,490,19,15,490,19,15,False,1.0295089420021328,1.0295089420021328,1.2059471674455529,1.2059471674455529,0.0,1.0,0.0,False,False,True,16.88499999999994,-7.6819999999999435,True,16.88499999999994,-7.6819999999999435
1003,15626,15500,-5.417876720428467,-3.66601824760437,17.449999999999907,mutated_elite,False,False,9,13,238,9,13,238,9,13,False,1.0675471057220032,1.0675471057220032,1.1117596012305442,1.1117596012305442,0.0,1.0,0.0,False,False,True,22.40999999999994,-4.960000000000033,True,22.40999999999994,-4.960000000000033
1003,15627,15500,3.7416598796844482,4.327516555786133,3.3499999999999988,mutated_elite,False,False,13,17,342,13,17,342,13,17,False,1.4102903063508443,1.4102903063508443,1.4116788132878195,1.4116788132878195,0.0,1.0,0.0,False,False,True,18.259999999999955,-14.909999999999958,True,18.259999999999955,-14.909999999999958
1003,15628,15500,10.009278297424316,8.25090503692627,2.9169999999999976,mutated_elite,False,False,15,18,393,15,18,393,15,18,False,0.9736910951014399,0.9736910951014399,1.2609174743697522,1.2609174743697522,0.0,1.0,0.0,False,False,True,8.299,-5.3820000000000014,True,8.299,-5.3820000000000014
1003,15629,15500,14.251469612121582,4.308383941650391,12.895000000000016,mutated_elite,False,False,17,17,442,17,17,442,17,17,False,1.3656418621060624,1.3656418621060624,2.030518020384047,2.030518020384047,0.0,1.0,0.0,False,False,True,14.521999999999956,-1.6269999999999403,True,14.521999999999956,-1.6269999999999403
1003,15630,15500,-4.176094055175781,-0.9274941682815552,8.01899999999999,mutated_elite,False,False,9,14,239,9,14,239,9,14,False,1.1608335113082242,1.1608335113082242,1.2009420303334257,1.2009420303334257,0.0,1.0,0.0,False,False,True,19.90499999999999,-11.886000000000001,True,19.90499999999999,-11.886000000000001
1003,15631,15500,-0.16653023660182953,2.9122886657714844,-0.9799999999999995,mutated_elite,False,False,11,16,291,11,16,291,11,16,False,0.13313767266741156,0.13313767266741156,0.23422072419214987,0.23422072419214987,0.0,1.0,0.0,False,False,True,20.089999999999993,-21.069999999999993,True,20.089999999999993,-21.069999999999993
1003,15632,15500,-1.7812843322753906,4.571928977966309,2.1530000000000005,mutated_elite,False,False,10,17,267,10,17,267,10,17,False,1.1490347322226135,1.1490347322226135,1.2556570514917669,1.2556570514917669,0.0,1.0,0.0,False,False,True,9.013999999999974,-6.860999999999974,True,9.013999999999974,-6.860999999999974
1003,15633,15500,-0.7871872782707214,0.9834092855453491,3.317999999999996,mutated_elite,False,False,11,15,290,11,15,290,11,15,False,0.8062285221274051,0.8062285221274051,0.8123086365147465,0.8123086365147465,0.0,1.0,0.0,False,False,True,23.094999999999985,-19.776999999999987,True,23.094999999999985,-19.776999999999987
1003,15634,15500,0.7507173418998718,3.512972593307495,3.9109999999999974,mutated_elite,False,False,11,16,291,11,16,291,11,16,False,0.9894290172261493,0.9894290172261493,0.9900904594319602,0.9900904594319602,0.0,1.0,0.0,False,False,True,20.089999999999993,-16.178999999999995,True,20.089999999999993,-16.178999999999995
1003,15635,15500,-6.697197437286377,-7.054836273193359,22.009999999999966,mutated_elite,False,False,8,12,212,8,12,212,8,12,False,0.3160114623636737,0.3160114623636737,0.8247726065524841,0.8247726065524841,0.0,1.0,0.0,False,False,True,25.03499999999995,-3.0249999999999844,True,25.03499999999995,-3.0249999999999844
